Subject,L_I_II,L_III,L_IV,L_V,L_VI,L_Crus_I,L_Crus_II,L_VIIB,L_VIIIA,L_VIIIB,L_IX,L_X,L_CM,R_I_II,R_III,R_IV,R_V,R_VI,R_Crus_I,R_Crus_II,R_VIIB,R_VIIIA,R_VIIIB,R_IX,R_X,R_CM
output/fusion/majority_vote/sub-3000_run-1_desc-masked_preproc_T1w_labels.mnc,57.5999,857.998,2014.79,3339.59,6329.98,12459.6,8973.58,4505.99,6110.38,3458.39,3019.19,591.598,7988.38,55.1999,835.198,1432.8,3290.39,6993.58,12590.4,10554,5919.58,5062.79,2974.79,3403.19,632.398,8511.58
output/fusion/majority_vote/sub-3004_run-1_desc-masked_preproc_T1w_labels.mnc,60.0002,802.803,2054.41,3588.01,6846.03,11181.6,8116.83,3967.22,5569.22,2904.01,2959.21,708.003,9328.84,104.4,872.403,1645.21,3602.41,7239.63,12391.2,9376.84,4996.82,3848.41,2913.61,2826.01,728.403,9579.64
output/fusion/majority_vote/sub-3008_run-1_desc-masked_preproc_T1w_labels.mnc,64.7998,707.998,1689.6,3413.99,7543.18,11572.8,8228.38,3663.59,5173.19,2878.79,2807.99,583.199,6922.78,69.5998,790.798,1326,3464.39,7912.78,12068.4,9715.18,4279.19,3754.79,2807.99,2841.59,573.599,7627.18
output/fusion/majority_vote/sub-3011_run-1_desc-masked_preproc_T1w_labels.mnc,74.3998,1096.8,2791.19,3863.99,8019.58,16363.2,10261.2,5205.59,6689.98,4829.99,4385.99,685.198,9490.78,99.5997,1255.2,2041.19,4299.59,8729.98,17437.2,12393.6,6016.78,4731.59,4118.39,4096.79,649.198,10372.8
output/fusion/majority_vote/sub-3013_run-1_desc-masked_preproc_T1w_labels.mnc,69.5998,920.398,2464.79,3980.39,10233.6,12747.6,8141.98,4645.19,5822.39,3898.79,3050.39,532.799,9626.38,102,1150.8,2403.59,4163.99,9671.98,14224.8,9508.78,4609.19,4763.99,3321.59,3232.79,635.998,9967.17
output/fusion/majority_vote/sub-3016_run-1_desc-masked_preproc_T1w_labels.mnc,81.6003,772.803,2227.21,4473.62,7830.03,13129.3,8266.83,3805.21,4950.02,3214.81,3314.41,643.202,8121.63,94.8004,840.003,1849.21,4020.02,8424.03,13515.7,7964.43,3855.61,4057.22,3448.81,3144.01,727.203,8611.23
output/fusion/majority_vote/sub-3029_run-1_desc-masked_preproc_T1w_labels.mnc,88.7998,947.998,2225.99,3566.39,8110.78,15406.8,7719.58,3838.79,6843.58,4029.59,3897.59,555.599,8487.58,110.4,1178.4,2209.19,3861.59,8805.58,16874.4,8668.78,5559.59,5021.99,3869.99,3802.79,649.198,8601.58
output/fusion/majority_vote/sub-3104_run-1_desc-masked_preproc_T1w_labels.mnc,66,1149,2088,4575,10579,12614,6623,3289,4737,3400,3449,627,7893,105,1182,1868,4349,10209,17484,9037,4009,4147,3825,3125,686,8403
output/fusion/majority_vote/sub-3106_run-1_desc-masked_preproc_T1w_labels.mnc,59,651,1619,2988,5621,9286,6527,2841,4321,2683,2637,406,7224,94,761,1394,3338,5518,11108,8354,4272,3710,3023,2789,585,7737
output/fusion/majority_vote/sub-3112_run-1_desc-masked_preproc_T1w_labels.mnc,43,694,1369,3027,6135,8119,5424,2419,3494,2607,2577,430,6907,91,758,1309,3361,6509,8456,6091,3682,2962,2685,2615,593,7545
output/fusion/majority_vote/sub-3114_run-1_desc-masked_preproc_T1w_labels.mnc,91,758,1864,3151,7289,10867,6851,3469,4579,2611,2097,427,6900,97,852,1621,3185,8082,10811,7906,4420,3445,2333,1881,452,7090
output/fusion/majority_vote/sub-3115_run-1_desc-masked_preproc_T1w_labels.mnc,57,846,2378,4749,9784,11385,7976,4051,4788,2866,2788,493,8700,84,895,2149,4957,11535,12103,8684,5361,4170,3101,2664,814,9460
output/fusion/majority_vote/sub-3151_run-1_desc-masked_preproc_T1w_labels.mnc,51.9999,691.999,1811,3431,6535.99,11470,7565.99,3838,4721.99,2930,2717,504.999,6763.99,77.9999,865.999,1835,3383,6846.99,11666,8481.99,4121.99,3836,3175,3081,763.999,6949.99
output/fusion/majority_vote/sub-3156_run-1_desc-masked_preproc_T1w_labels.mnc,57.9998,716.997,1762.99,3493.99,8054.97,9958.96,7486.97,4025.99,5021.98,3734.99,3609.99,517.998,6958.97,60.9998,834.997,1500.99,3581.99,8367.97,10630,8202.97,4581.98,4153.98,3525.99,3612.99,579.998,7243.97
output/fusion/majority_vote/sub-3157_run-1_desc-masked_preproc_T1w_labels.mnc,63.0004,639.004,1790.01,4230.03,8897.06,9024.06,6690.05,3455.02,4387.03,3066.02,2104.01,507.003,6172.04,82.0006,737.005,1935.01,4241.03,9535.06,9842.07,7368.05,4313.03,3702.03,2848.02,2181.01,469.003,6243.04
output/fusion/majority_vote/sub-3160_run-1_desc-masked_preproc_T1w_labels.mnc,80.9998,901.997,2312.99,4846.99,10674,13172,9125.97,4262.99,5753.98,3591.99,3432.99,701.998,8259.98,97.9997,959.997,1892.99,4679.99,9600.97,13487,10242,5161.99,4707.99,3854.99,3223.99,666.998,8537.98
output/fusion/majority_vote/sub-3161_run-1_desc-masked_preproc_T1w_labels.mnc,83.9995,1105.99,3060.98,4290.97,8710.95,14785.9,10414.9,4879.97,7410.96,3832.98,3865.98,699.996,8527.95,111.999,821.995,1557.99,4515.97,9735.94,18530.9,12985.9,5294.97,4799.97,4039.98,3985.98,777.995,9153.94
output/fusion/majority_vote/sub-3165_run-1_desc-masked_preproc_T1w_labels.mnc,53.0002,716.003,2096.01,3456.01,7878.03,12066,5994.02,3619.01,4962.02,3619.01,2443.01,496.002,7697.03,92.0004,901.004,1987.01,3627.01,7477.03,13091.1,7985.03,4106.02,3816.01,3441.01,2962.01,716.003,7852.03
output/fusion/majority_vote/sub-3169_run-1_desc-masked_preproc_T1w_labels.mnc,64.9997,783.997,2763.99,3724.98,7256.97,13049.9,8470.97,4787.98,6647.97,4072.98,3815.98,529.998,8731.96,106,837.997,2069.99,4110.98,7307.97,14701.9,11131,6195.97,5637.98,3831.98,3813.98,774.997,8929.96
output/fusion/majority_vote/sub-3171_run-1_desc-masked_preproc_T1w_labels.mnc,103,1120,2936,4434,8730.01,12910,9371.01,4759,6221.01,3757,3589,625.001,8445.01,130,1136,2495,5266,8320.01,12719,10819,5076,4438,3603,3711,784.001,8717.01
