lh.aparc.DKTatlas.thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness
sub-0016	2.045	2.033	1.739	2.655	2.674	2.145	2.822	1.916	2.175	2.31	1.884	2.136	2.532	2.514	1.921	2.306	2.657	2.102	1.582	1.877	1.766	2.38	1.963	2.286	1.736	2.074	2.132	2.555	2.329	1.982	2.834	2.17948
sub-0061	2.059	2.442	2.023	3.735	2.743	2.458	2.82	2.094	2.362	2.656	2.052	2.391	2.588	3.181	2.3	2.297	2.392	2.227	1.974	2.088	2.15	2.554	2.331	2.666	2.319	2.472	2.388	2.538	2.392	1.808	2.94	2.41493
sub-0081	2.223	2.38	2.045	3.401	2.86	2.408	3.033	2.318	2.279	2.611	2.156	2.606	2.595	2.888	2.35	2.211	2.677	2.214	2.027	2.124	2.09	2.549	2.304	2.646	2.168	2.39	2.185	2.627	2.379	2.073	2.977	2.41504
sub-0115	2.415	2.235	1.837	3.374	2.397	2.233	2.599	2.216	1.967	2.498	1.824	2.552	2.541	3.008	2.248	2.195	2.523	2.288	1.663	1.927	2.387	2.39	2.115	2.634	2.322	2.34	1.849	2.461	2.371	2.431	2.786	0.0
sub-0119	2.313	2.277	1.975	3.514	2.704	2.44	2.825	2.244	2.312	2.613	2.07	2.457	2.708	2.657	2.367	2.367	2.52	2.25	1.853	2.054	2.316	2.467	2.344	2.585	2.362	2.431	2.221	2.551	2.337	2.287	2.931	2.39066
sub-0122	2.211	2.219	1.926	3.012	2.653	2.301	2.672	1.786	2.156	2.41	1.85	2.322	2.571	2.589	1.946	1.982	2.182	1.797	1.999	1.561	2.05	2.261	2.066	2.378	1.948	2.175	1.97	2.256	2.241	1.828	2.828	2.17613
sub-0134	2.553	2.421	2.013	3.718	2.899	2.429	3.081	2.323	2.321	2.715	2.185	2.63	2.843	3.255	2.278	2.466	2.818	2.583	1.857	2.127	2.396	2.344	2.295	2.771	2.514	2.629	2.137	2.763	2.544	2.238	3.134	2.50792
sub-0139	1.994	2.337	1.749	3.277	2.351	2.132	2.724	1.901	1.903	2.106	1.756	2.23	2.533	2.301	1.976	2.213	2.138	1.907	1.653	1.726	1.942	2.084	2.02	2.276	1.83	2.112	1.809	2.187	2.083	1.707	2.48	2.07116
sub-0140	2.357	2.137	2.102	3.162	2.229	2.146	2.507	1.84	1.951	2.372	1.599	2.038	2.274	2.637	2.152	2.067	1.878	1.997	1.708	1.707	2.277	2.231	2.055	2.529	1.949	2.167	2.0	2.344	2.173	1.939	2.673	2.12202
sub-0141	2.011	1.695	1.494	2.488	2.206	1.835	2.319	1.655	1.776	2.546	1.801	2.421	2.183	2.431	2.102	1.947	2.108	1.868	1.707	1.436	1.796	1.813	1.758	2.554	1.83	2.051	1.37	2.116	1.998	1.347	2.259	1.92485
