rh.aparc.DKTatlas.thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-002S0413	2.795	2.63	2.032	3.535	2.713	2.47	2.819	2.493	2.202	2.782	2.065	2.271	2.836	2.657	2.754	2.642	2.708	2.479	1.833	2.175	2.439	2.744	2.463	2.859	2.437	2.689	2.336	2.763	2.585	2.608	3.076	2.53282	1043570.0	1434783.667073
sub-003S0907	2.544	2.088	1.624	2.563	2.248	1.964	2.494	2.033	1.748	2.479	1.822	2.272	2.325	2.464	1.933	2.295	1.972	2.061	1.465	1.711	2.249	1.921	1.911	3.335	1.992	2.218	1.691	2.409	2.117	1.996	2.669	2.06417	830648.0	1408413.108412
sub-003S4081	2.615	2.232	1.99	3.546	2.754	2.388	2.864	2.827	2.067	2.642	2.077	2.506	2.677	2.749	2.642	2.457	2.455	2.024	1.82	1.78	2.74	2.458	2.272	2.724	2.009	2.286	2.09	2.598	2.437	2.226	2.881	2.36195	802208.0	1175637.939837
sub-003S4119	2.066	2.203	1.881	3.583	2.804	2.44	2.779	2.486	2.135	2.307	1.985	2.262	2.779	2.95	2.282	2.289	2.331	1.998	1.572	1.799	2.327	2.25	2.224	2.394	1.908	2.192	1.731	2.739	2.438	2.628	3.03	2.27727	1097280.0	1554660.626879
sub-003S4840	2.339	2.059	1.759	3.883	2.838	2.141	2.757	2.3	2.226	2.36	2.023	2.427	2.725	2.677	2.189	2.226	2.473	2.109	1.57	1.831	2.265	2.231	2.096	2.547	1.872	2.162	1.805	2.704	2.254	2.3	2.953	2.2506	1093699.0	1465878.997079
sub-003S4900	2.366	2.052	1.782	4.315	2.865	2.447	2.874	2.687	2.339	2.641	2.204	2.36	2.879	2.83	2.272	2.612	2.453	1.967	1.672	1.892	2.521	2.332	2.337	2.622	1.86	2.212	2.163	2.759	2.5	2.01	2.974	2.38039	965584.0	1215871.483799
sub-005S0553	2.876	1.985	1.768	2.903	2.36	1.989	2.654	2.17	1.906	2.379	1.87	2.163	2.376	2.909	2.116	2.274	2.457	2.171	1.5	1.777	2.428	2.151	2.042	2.685	1.979	2.243	1.839	2.585	2.141	2.512	2.81	2.15954	914545.0	1540761.958465
sub-006S0731	2.863	2.227	1.73	3.82	2.659	2.127	2.8	2.287	2.097	2.349	1.913	2.336	2.823	2.674	1.959	2.162	2.53	2.373	1.702	1.752	2.456	2.145	1.95	3.372	2.335	2.379	1.884	2.586	2.129	2.1	2.874	2.24791	982815.0	1494517.802949
sub-006S4357	2.669	2.346	1.845	3.739	2.624	2.289	2.591	2.848	2.056	2.55	1.976	2.248	2.489	3.299	2.155	2.24	2.39	2.171	1.678	1.885	2.408	2.382	2.269	2.772	2.186	2.364	2.12	2.541	2.257	2.415	2.643	2.30424	876200.0	1148315.525837
sub-007S1222	2.283	2.097	1.647	3.182	2.492	2.144	2.634	2.173	1.912	2.524	1.816	2.193	2.506	2.298	2.104	2.115	2.528	2.236	1.586	1.864	2.102	2.142	2.076	2.539	2.193	2.238	1.861	2.409	2.313	1.963	2.877	2.18829	878698.0	1288190.030933
sub-007S4387	2.208	2.288	1.807	3.979	2.761	2.162	2.678	2.385	2.091	2.434	2.033	2.34	2.524	2.695	2.037	2.385	2.375	2.313	1.573	1.896	2.307	2.296	2.148	2.672	2.174	2.259	1.981	2.685	2.251	2.256	2.741	2.27724	953907.0	1382234.644424
sub-007S4620	2.819	2.293	1.881	2.637	2.625	2.453	2.865	2.259	2.138	2.541	1.896	2.362	2.824	2.148	2.36	2.325	2.399	2.193	1.454	1.896	2.707	2.376	2.371	2.947	2.045	2.385	2.042	2.648	2.453	2.41	2.693	2.34702	934333.0	1454466.949158
sub-007S4637	2.56	2.244	1.815	4.242	2.596	2.33	2.837	2.858	2.179	2.515	2.15	2.276	2.665	3.252	2.168	2.261	2.681	2.074	1.611	1.781	2.461	2.236	2.224	2.605	2.105	2.388	1.919	2.709	2.331	2.595	2.852	2.31727	925630.0	1309197.040793
sub-009S4337	1.869	2.273	1.959	3.64	2.578	2.297	2.736	2.128	2.216	2.505	1.872	2.284	2.793	2.741	2.311	2.374	2.59	2.278	1.726	2.148	1.903	2.342	2.38	2.376	2.151	2.316	2.217	2.674	2.379	2.28	2.591	2.35215	981663.0	1519435.175716
sub-009S4388	2.393	2.524	1.861	3.433	2.592	2.47	2.806	2.196	2.127	2.392	2.028	2.317	2.696	2.653	2.316	2.459	2.536	2.095	1.714	2.087	2.287	2.452	2.317	2.796	2.272	2.471	2.225	2.746	2.528	2.221	2.771	2.3981	1125127.0	1661044.528962
sub-011S0021	2.598	2.435	1.708	2.821	2.959	2.352	2.852	2.43	1.985	2.498	1.862	2.494	2.793	2.662	2.258	2.423	2.531	2.288	1.475	1.808	2.476	2.252	2.24	2.713	2.463	2.474	1.953	2.697	2.262	1.911	2.859	2.33679	881832.0	1399725.995319
sub-013S4616	2.039	2.263	1.926	3.485	2.328	2.151	2.491	1.934	2.006	2.366	1.974	2.508	2.448	2.264	2.292	2.31	2.652	2.236	1.715	1.839	1.717	2.281	2.259	2.242	2.123	2.259	2.057	2.267	2.135	1.79	2.563	2.1923	1023904.0	1835733.260113
sub-014S0548	2.534	2.166	1.721	2.438	2.265	2.039	2.296	1.943	1.966	2.249	1.891	2.135	2.216	2.236	2.005	2.193	2.245	1.924	1.504	1.675	2.204	2.007	1.834	2.778	1.849	2.136	1.777	2.245	1.986	1.511	2.38	2.03277	1009317.0	1551078.622055
sub-014S4577	2.06	2.271	1.752	2.509	2.45	2.188	2.596	2.044	2.074	2.545	1.927	2.606	2.422	2.119	2.023	2.415	2.555	2.153	1.625	1.783	2.26	2.227	1.998	2.776	2.201	2.401	1.943	2.425	2.27	1.942	2.689	2.22462	975236.0	1457798.214596
sub-016S0359	2.422	2.251	1.698	2.765	2.55	2.146	2.533	2.645	1.956	2.722	1.859	2.394	2.491	2.891	2.111	2.204	2.328	2.408	1.471	1.763	2.371	2.186	2.193	3.148	2.195	2.422	1.74	2.447	2.274	2.061	2.616	2.2287	779887.0	1204786.766552
sub-016S4638	2.242	1.984	1.69	3.683	2.493	2.047	2.523	2.342	1.956	2.435	1.839	2.379	2.448	2.747	2.225	2.294	2.363	2.003	1.619	1.785	2.101	2.265	2.102	2.153	1.933	2.094	1.676	2.655	2.201	2.166	2.716	2.15584	1123776.0	1551342.631427
sub-018S0055	2.166	2.279	1.489	3.284	2.344	2.227	2.707	2.218	1.919	2.328	1.944	2.171	2.662	2.292	2.098	2.245	2.328	2.221	1.408	1.691	2.284	2.119	2.019	2.511	2.005	2.405	1.737	2.37	2.241	1.652	2.641	2.17666	1070673.0	1860745.580041
sub-021S0337	1.895	2.253	1.781	2.863	2.316	2.292	2.554	1.788	2.05	2.443	1.821	2.436	2.676	2.114	2.169	2.398	2.453	2.09	1.857	1.78	2.087	2.15	2.007	2.6	2.241	2.289	1.877	2.414	2.265	2.019	2.975	2.22247	972890.0	1733725.17371
sub-021S0984	1.924	2.222	1.617	3.005	2.341	2.17	2.427	1.963	1.879	2.296	1.794	2.0	2.515	2.264	2.029	2.253	2.235	1.926	1.425	1.886	1.826	2.316	2.093	2.415	1.959	2.137	1.988	2.374	2.319	1.722	2.618	2.13312	1119046.0	1780061.527691
sub-021S4254	2.891	2.192	1.67	2.144	2.488	1.911	2.53	2.108	2.144	2.579	1.955	2.281	2.33	2.601	2.326	2.242	2.163	2.281	1.661	1.684	2.462	2.154	2.06	2.994	2.155	2.373	1.833	2.151	2.065	1.653	2.618	2.15013	802264.0	1226951.352632
sub-021S4276	2.257	2.404	1.91	3.231	2.644	2.344	2.697	2.452	2.31	2.625	1.889	2.54	2.835	2.525	2.45	2.381	2.891	2.22	1.44	2.053	2.377	2.417	2.345	3.191	2.16	2.526	2.186	2.669	2.343	2.598	3.006	2.40133	958909.0	1419124.800091
sub-021S4421	3.037	2.297	1.893	3.638	2.688	2.506	2.749	2.506	2.121	2.639	2.025	2.381	2.734	2.967	2.613	2.438	2.728	2.232	1.804	2.195	2.617	2.448	2.62	2.954	2.252	2.449	2.294	2.851	2.654	2.524	2.825	2.46553	1118963.0	1559761.67399
sub-021S4558	2.135	2.326	1.8	3.532	2.398	2.354	2.67	2.187	2.237	2.448	1.897	2.166	2.497	2.566	2.282	2.228	2.212	2.218	1.824	1.85	2.327	2.484	2.361	2.521	2.205	2.404	2.057	2.572	2.159	2.128	2.439	2.29702	984865.0	1346075.933956
sub-022S0096	2.205	2.309	1.907	3.128	2.423	2.195	2.369	1.927	2.085	2.516	1.858	2.362	2.583	2.393	2.097	2.232	2.277	2.232	1.53	1.878	1.97	2.218	2.374	2.422	2.136	2.228	2.155	2.42	2.089	1.985	2.725	2.22721	1044110.0	1865691.684976
sub-022S0130	2.224	2.302	1.921	3.436	2.687	2.302	2.706	2.226	2.013	2.507	1.855	2.358	2.953	2.737	2.433	2.323	2.431	2.199	1.581	2.01	2.331	2.283	2.131	2.426	2.195	2.405	2.037	2.621	2.394	2.235	2.688	2.33145	1224257.0	1824513.724349
sub-023S0061	2.759	2.327	1.781	3.236	2.441	2.217	2.563	1.975	1.911	2.588	1.854	2.541	2.55	2.297	2.253	2.243	2.477	2.16	1.608	1.851	2.259	2.316	2.257	2.605	2.171	2.508	2.012	2.584	2.452	2.429	3.05	2.29306	903813.0	1468317.32641
sub-023S4020	2.148	2.53	1.852	3.934	2.645	2.315	2.842	2.676	2.139	2.56	2.063	2.454	2.777	2.622	2.377	2.539	2.636	2.349	1.579	2.038	2.513	2.505	2.323	2.8	2.275	2.475	2.1	2.883	2.438	2.332	2.744	2.41851	1184013.0	1629247.110685
sub-024S4084	2.852	2.645	2.06	3.577	2.874	2.426	2.813	2.435	2.422	2.726	2.217	2.277	2.772	2.65	2.643	2.603	2.552	2.285	1.605	2.151	2.472	2.6	2.487	3.053	2.299	2.638	2.14	2.851	2.525	2.55	3.064	2.5248	1052934.0	1473387.09007
sub-024S4158	2.737	2.057	1.787	3.101	2.465	2.194	2.578	2.28	1.973	2.74	1.877	2.224	2.558	2.535	2.214	2.473	2.405	2.252	1.476	1.71	2.248	2.202	2.131	2.876	2.178	2.291	1.829	2.373	2.167	2.001	2.69	2.20671	935150.0	1445480.922305
sub-027S0120	2.189	2.128	1.729	3.671	2.545	2.121	2.577	2.082	1.989	2.392	1.956	2.43	2.457	2.212	2.098	2.271	2.289	1.999	1.43	1.79	2.158	2.062	2.042	2.799	1.937	2.177	1.849	2.51	2.171	2.27	2.745	2.15188	1049728.0	1537996.243965
sub-029S4279	2.384	2.24	1.747	2.91	2.338	2.113	2.559	2.045	2.131	2.451	1.686	2.27	2.62	2.249	2.163	2.502	2.484	2.434	1.374	1.776	2.601	2.347	2.094	2.924	2.234	2.357	1.813	2.6	2.128	2.213	3.115	2.24214	948903.0	1473247.886144
sub-029S4290	2.622	2.25	1.849	3.027	2.516	2.329	2.627	2.329	2.139	2.536	2.251	2.585	2.553	2.471	2.401	2.46	2.651	2.231	1.67	1.769	2.447	2.366	2.194	3.017	2.151	2.437	2.999	2.573	2.35	2.303	2.976	2.36051	1043145.0	1629681.569519
