rh.aparc.a2009s.area	rh_G&S_frontomargin_area	rh_G&S_occipital_inf_area	rh_G&S_paracentral_area	rh_G&S_subcentral_area	rh_G&S_transv_frontopol_area	rh_G&S_cingul-Ant_area	rh_G&S_cingul-Mid-Ant_area	rh_G&S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg&S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet&P_trans_area	rh_S_oc_middle&Lunatus_area	rh_S_oc_sup&transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med&Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-002S0413	636.0	795.0	881.0	922.0	808.0	1992.0	915.0	956.0	324.0	282.0	1695.0	799.0	317.0	391.0	3207.0	3899.0	395.0	475.0	1524.0	1208.0	1197.0	1930.0	613.0	1891.0	2125.0	1614.0	1536.0	1242.0	1711.0	1405.0	642.0	249.0	302.0	1187.0	564.0	485.0	1657.0	1864.0	202.0	111.0	897.0	2694.0	1181.0	1635.0	2064.0	834.0	359.0	783.0	797.0	585.0	308.0	1294.0	1393.0	1586.0	253.0	2308.0	656.0	1020.0	353.0	901.0	1145.0	339.0	592.0	1135.0	1566.0	781.0	1466.0	1248.0	854.0	369.0	911.0	945.0	4021.0	194.0	82420.0	1043570.0	1434783.667073
sub-003S0907	450.0	772.0	678.0	893.0	740.0	1464.0	644.0	832.0	308.0	185.0	1267.0	765.0	303.0	637.0	2210.0	3753.0	309.0	421.0	1327.0	851.0	1102.0	1639.0	709.0	1415.0	1445.0	1506.0	1443.0	1135.0	1442.0	1375.0	560.0	303.0	263.0	1031.0	443.0	502.0	1302.0	1725.0	250.0	126.0	892.0	1907.0	915.0	1342.0	1815.0	757.0	296.0	797.0	770.0	429.0	232.0	1068.0	1134.0	1216.0	276.0	2086.0	827.0	774.0	668.0	573.0	1202.0	174.0	517.0	649.0	1427.0	564.0	1601.0	1025.0	664.0	109.0	611.0	551.0	3143.0	193.0	69727.9	830648.0	1408413.108412
sub-003S4081	414.0	834.0	702.0	592.0	718.0	1579.0	667.0	777.0	274.0	211.0	879.0	668.0	186.0	327.0	1778.0	3068.0	271.0	314.0	1103.0	757.0	1181.0	1499.0	676.0	1360.0	1607.0	1156.0	1472.0	891.0	1165.0	1217.0	429.0	265.0	139.0	862.0	417.0	363.0	1306.0	1689.0	178.0	68.0	736.0	1785.0	1054.0	1298.0	1544.0	735.0	248.0	679.0	685.0	578.0	168.0	937.0	972.0	1208.0	168.0	2065.0	446.0	576.0	356.0	604.0	1112.0	254.0	369.0	716.0	1120.0	648.0	1517.0	909.0	677.0	208.0	583.0	889.0	3398.0	112.0	63418.0	802208.0	1175637.939837
sub-003S4119	624.0	853.0	619.0	1153.0	868.0	2204.0	1068.0	924.0	334.0	247.0	1238.0	866.0	312.0	689.0	3448.0	4447.0	440.0	597.0	1639.0	817.0	1475.0	1890.0	901.0	2096.0	2031.0	1790.0	1399.0	1441.0	2225.0	1782.0	694.0	443.0	358.0	1208.0	768.0	593.0	1854.0	1841.0	418.0	157.0	981.0	2142.0	1314.0	1966.0	2467.0	708.0	424.0	922.0	1061.0	913.0	328.0	1659.0	1894.0	1885.0	433.0	2304.0	510.0	997.0	538.0	861.0	1157.0	225.0	645.0	1064.0	1067.0	939.0	2065.0	1250.0	1343.0	320.0	1136.0	1019.0	3374.0	202.0	88867.5	1097280.0	1554660.626879
sub-003S4840	555.0	877.0	763.0	957.0	749.0	1885.0	789.0	849.0	380.0	233.0	1666.0	1049.0	274.0	523.0	2312.0	4242.0	385.0	402.0	1739.0	1139.0	1402.0	2450.0	727.0	1699.0	2304.0	1504.0	1364.0	1096.0	1686.0	1399.0	543.0	302.0	180.0	1149.0	816.0	504.0	1790.0	2076.0	285.0	87.0	845.0	2379.0	1194.0	1885.0	1838.0	726.0	346.0	695.0	1003.0	553.0	451.0	1217.0	1393.0	1488.0	233.0	2126.0	549.0	1139.0	527.0	912.0	1595.0	241.0	518.0	868.0	1566.0	860.0	1454.0	997.0	1081.0	180.0	676.0	997.0	4613.0	143.0	82420.5	1093699.0	1465878.997079
sub-003S4900	560.0	818.0	662.0	890.0	641.0	1683.0	664.0	800.0	312.0	142.0	1223.0	831.0	296.0	678.0	2037.0	4022.0	359.0	314.0	1089.0	878.0	1298.0	1614.0	653.0	1427.0	1861.0	1539.0	1827.0	1017.0	1287.0	1449.0	458.0	275.0	232.0	928.0	612.0	513.0	1557.0	1567.0	294.0	93.0	880.0	1951.0	1349.0	1374.0	1555.0	778.0	323.0	736.0	891.0	563.0	243.0	1110.0	1131.0	1340.0	485.0	1885.0	573.0	668.0	327.0	778.0	1330.0	301.0	439.0	827.0	1299.0	582.0	1572.0	991.0	639.0	256.0	590.0	848.0	3441.0	229.0	71682.6	965584.0	1215871.483799
sub-005S0553	599.0	775.0	755.0	864.0	751.0	1799.0	773.0	774.0	351.0	249.0	1389.0	831.0	215.0	711.0	2721.0	3824.0	466.0	467.0	1465.0	766.0	825.0	2054.0	843.0	1579.0	1635.0	1347.0	1138.0	1184.0	1208.0	1470.0	554.0	319.0	220.0	1029.0	543.0	433.0	1811.0	1705.0	437.0	240.0	794.0	2142.0	1430.0	1973.0	1879.0	815.0	475.0	859.0	1009.0	689.0	415.0	1358.0	1656.0	1664.0	163.0	1667.0	649.0	782.0	345.0	463.0	972.0	404.0	461.0	628.0	1411.0	931.0	1465.0	884.0	789.0	229.0	456.0	997.0	3079.0	179.0	75226.5	914545.0	1540761.958465
sub-006S0731	597.0	865.0	832.0	841.0	590.0	1336.0	588.0	705.0	256.0	214.0	1423.0	762.0	242.0	517.0	1911.0	3483.0	313.0	317.0	1284.0	1167.0	1288.0	1897.0	728.0	1739.0	2071.0	1856.0	1625.0	1483.0	1769.0	1272.0	513.0	302.0	229.0	1084.0	387.0	585.0	1173.0	1452.0	234.0	141.0	920.0	2364.0	1130.0	1823.0	2367.0	752.0	380.0	722.0	832.0	565.0	347.0	1123.0	1236.0	1155.0	336.0	2001.0	583.0	726.0	357.0	466.0	1485.0	233.0	372.0	760.0	1112.0	644.0	1767.0	1063.0	886.0	248.0	521.0	742.0	3131.0	162.0	73382.8	982815.0	1494517.802949
sub-006S4357	455.0	487.0	758.0	830.0	613.0	1528.0	731.0	793.0	307.0	197.0	1238.0	667.0	177.0	486.0	2249.0	3575.0	295.0	380.0	1213.0	889.0	1202.0	1998.0	649.0	1348.0	1267.0	1593.0	1039.0	1159.0	1379.0	1243.0	443.0	139.0	305.0	1005.0	492.0	501.0	1501.0	1555.0	204.0	225.0	936.0	2034.0	1209.0	1681.0	2001.0	722.0	316.0	735.0	816.0	682.0	185.0	1062.0	1185.0	1233.0	115.0	1554.0	410.0	848.0	377.0	737.0	1087.0	248.0	336.0	592.0	1134.0	500.0	1277.0	946.0	883.0	190.0	607.0	655.0	3644.0	136.0	68184.3	876200.0	1148315.525837
sub-007S1222	429.0	763.0	859.0	738.0	643.0	1727.0	799.0	840.0	282.0	178.0	1057.0	851.0	248.0	381.0	2086.0	3833.0	399.0	674.0	1353.0	687.0	1192.0	1407.0	767.0	1509.0	1699.0	1547.0	1349.0	1055.0	1407.0	1323.0	582.0	91.0	228.0	1052.0	594.0	455.0	1471.0	1502.0	197.0	86.0	822.0	1628.0	1101.0	1370.0	1884.0	871.0	338.0	737.0	805.0	549.0	149.0	857.0	1240.0	1535.0	108.0	1762.0	459.0	601.0	476.0	436.0	1004.0	233.0	466.0	616.0	1117.0	610.0	1356.0	600.0	709.0	195.0	523.0	594.0	3786.0	192.0	68073.5	878698.0	1288190.030933
sub-007S4387	728.0	690.0	847.0	845.0	709.0	1900.0	722.0	901.0	323.0	206.0	1390.0	808.0	249.0	589.0	2259.0	3912.0	312.0	376.0	1057.0	933.0	1312.0	1858.0	961.0	1762.0	1960.0	1736.0	1130.0	1041.0	1364.0	1162.0	541.0	310.0	215.0	1219.0	392.0	791.0	1501.0	1762.0	249.0	150.0	969.0	2009.0	1055.0	1290.0	1837.0	701.0	273.0	770.0	944.0	495.0	343.0	1301.0	1383.0	1559.0	328.0	1736.0	566.0	749.0	515.0	789.0	1339.0	218.0	528.0	1000.0	1554.0	791.0	1621.0	1099.0	808.0	248.0	625.0	612.0	3945.0	246.0	75415.4	953907.0	1382234.644424
