lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-0016	2.367	2.211	2.023	1.719	2.799	2.708	2.135	2.768	1.895	2.147	2.409	1.894	2.089	2.618	2.526	1.898	2.262	2.563	2.199	1.572	1.827	1.783	2.374	1.924	2.355	1.78	2.102	2.177	2.502	2.326	1.843	3.267	1.99	2.657	2.17962	1139479.0	1826103.15575
sub-0061	2.308	1.687	2.43	1.953	3.766	2.769	2.447	2.758	2.052	2.357	2.636	2.059	2.36	2.669	3.199	2.313	2.317	2.597	2.224	1.961	2.068	2.148	2.559	2.328	2.715	2.279	2.49	2.361	2.424	2.414	2.895	3.804	1.804	2.891	2.41497	1123551.0	1588960.31993
sub-0081	2.264	2.044	2.398	1.967	3.432	2.919	2.414	2.936	2.294	2.294	2.625	2.158	2.586	2.66	2.877	2.303	2.223	2.569	2.224	2.01	2.1	2.087	2.54	2.306	2.655	2.142	2.439	2.199	2.536	2.395	3.002	4.068	2.071	2.932	2.41483	1062350.0	1543150.95008
sub-0119	2.437	2.068	2.273	1.934	3.526	2.817	2.447	2.739	2.24	2.294	2.6	2.078	2.435	2.743	2.615	2.369	2.373	2.629	2.237	1.849	2.048	2.313	2.468	2.332	2.55	2.316	2.478	2.219	2.457	2.341	2.667	3.082	2.305	2.88	2.3908	1107517.0	1561030.35302
sub-0122	2.183	2.284	2.222	1.88	2.991	2.69	2.281	2.653	1.812	2.156	2.415	1.856	2.306	2.561	2.582	1.907	1.961	2.29	1.814	1.993	1.543	2.042	2.268	2.083	2.347	1.936	2.22	1.947	2.182	2.258	2.337	3.42	1.835	2.663	2.1768	1019573.0	1551132.50624
sub-0134	2.47	2.424	2.403	2.001	3.756	2.963	2.471	3.051	2.332	2.338	2.682	2.194	2.756	2.864	3.245	2.271	2.474	2.914	2.588	1.862	2.096	2.367	2.35	2.285	2.762	2.594	2.601	2.132	2.698	2.516	3.085	3.636	2.241	2.919	2.50807	1092548.0	1584051.21033
sub-0139	1.929	1.983	2.358	1.714	3.275	2.407	2.124	2.709	1.906	1.911	2.122	1.765	2.223	2.645	2.286	1.953	2.198	1.853	1.936	1.654	1.714	1.922	2.091	2.018	2.306	1.823	2.198	1.81	2.173	2.072	2.077	2.961	1.725	2.432	2.07164	1084432.0	1675398.01476
sub-0140	2.008	2.488	2.131	2.09	3.154	2.247	2.114	2.535	1.848	1.941	2.372	1.601	2.056	2.299	2.587	2.075	2.078	2.117	1.946	1.693	1.648	2.313	2.239	2.054	2.579	1.944	2.228	2.042	2.336	2.197	2.137	2.918	1.947	2.603	2.12231	1133888.0	1864168.92205
sub-0141	1.859	1.959	1.698	1.38	2.386	2.205	1.845	2.314	1.637	1.766	2.47	1.821	2.389	2.302	2.443	2.142	1.944	2.33	1.861	1.712	1.409	1.798	1.793	1.78	2.649	1.798	2.083	1.41	2.043	1.99	2.383	3.037	1.341	2.343	1.92493	1103716.0	1776912.23698
sub-0142	2.182	1.646	2.119	1.762	2.687	2.422	2.206	2.663	2.25	1.989	2.564	1.625	2.266	2.402	2.119	2.172	2.083	2.503	2.218	1.556	1.738	2.027	1.979	2.254	2.385	1.91	2.205	1.999	2.159	2.175	2.184	3.588	1.685	2.433	2.13377	953081.0	1571695.22621
