rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-0016	2.188	2.402	2.159	1.552	3.103	2.6	1.863	2.371	2.066	1.877	2.528	1.781	2.438	2.518	2.364	2.291	1.985	2.544	2.095	1.494	1.601	2.083	2.068	2.11	2.571	1.928	2.417	1.856	2.301	1.84	2.408	3.475	1.848	2.611	2.09791	1139479.0	1826103.15575
sub-0061	2.355	2.074	2.548	1.854	3.543	2.735	2.281	2.714	2.064	2.26	2.706	1.984	2.62	2.572	2.747	2.33	2.348	2.579	2.151	1.864	1.915	2.129	2.421	2.257	3.041	2.273	2.527	2.161	2.336	2.248	2.733	3.606	2.005	2.802	2.34958	1123551.0	1588960.31993
sub-0081	2.154	2.097	2.367	1.644	3.431	2.836	2.256	2.848	2.249	2.214	2.487	2.229	2.439	2.603	2.92	2.092	2.46	2.538	2.321	1.77	1.903	1.969	2.454	2.128	2.662	2.184	2.45	2.084	2.529	2.426	2.715	3.336	1.88	2.934	2.3381	1062350.0	1543150.95008
sub-0119	2.355	2.199	2.424	1.758	3.348	2.626	2.295	2.586	1.912	2.269	2.558	1.751	2.459	2.802	2.347	2.304	2.526	2.433	2.45	1.764	1.956	1.97	2.461	2.157	2.919	2.364	2.55	2.132	2.548	2.307	2.609	3.349	2.39	3.017	2.34974	1107517.0	1561030.35302
sub-0122	2.315	2.054	2.263	1.862	3.28	2.779	2.237	2.665	1.726	2.392	2.437	1.796	2.451	2.732	2.387	2.046	2.155	2.235	2.02	1.938	1.62	2.12	2.291	1.981	2.716	2.057	2.358	1.766	2.54	2.184	2.906	3.784	2.001	2.714	2.22608	1019573.0	1551132.50624
sub-0134	2.539	2.622	2.386	1.74	3.583	2.839	2.403	2.867	2.232	2.29	2.743	2.045	2.697	2.988	2.902	2.072	2.626	2.909	2.531	1.651	1.957	2.383	2.305	2.229	2.899	2.685	2.75	2.014	2.746	2.48	3.226	4.23	2.16	3.001	2.47865	1092548.0	1584051.21033
sub-0139	1.923	2.171	2.288	1.712	2.937	2.34	1.836	2.444	1.995	1.878	2.341	1.714	2.279	2.493	2.221	1.757	2.119	2.203	1.983	1.583	1.694	2.072	1.976	1.968	2.554	1.993	2.288	1.747	2.168	1.919	2.187	3.538	1.75	2.404	2.04318	1084432.0	1675398.01476
sub-0140	1.998	2.117	2.256	1.949	2.834	2.286	2.141	2.363	2.091	1.964	2.471	1.713	2.47	2.422	2.425	1.892	2.164	2.401	2.144	1.592	1.617	2.225	2.213	1.932	2.815	2.12	2.277	1.961	2.344	2.157	2.375	3.121	2.19	2.649	2.1564	1133888.0	1864168.92205
sub-0141	2.144	1.675	1.835	1.37	2.192	2.131	1.716	2.41	1.764	1.734	2.494	1.675	2.251	2.151	1.999	1.878	2.116	2.362	2.006	1.624	1.423	1.757	1.865	1.716	2.049	1.95	2.11	1.311	1.984	1.906	2.299	2.831	1.235	2.255	1.88761	1103716.0	1776912.23698
sub-0142	2.162	1.942	2.212	1.577	2.989	2.585	2.007	2.431	2.092	1.987	2.625	1.789	2.555	2.454	2.517	1.978	2.029	2.645	2.062	1.414	1.572	2.048	1.989	1.963	2.346	1.979	2.271	1.662	2.232	1.932	2.515	4.19	1.654	2.548	2.07831	953081.0	1571695.22621
sub-0143	2.333	2.148	2.229	1.754	2.955	2.481	2.146	2.655	2.01	2.057	2.589	1.801	2.429	2.579	2.704	1.921	2.264	2.656	2.17	1.59	1.758	2.147	2.261	1.961	2.713	2.244	2.381	1.668	2.361	2.086	2.428	3.494	1.898	2.665	2.18297	981705.0	1522261.2378
sub-0145	2.344	2.701	2.44	2.14	3.725	2.721	2.579	3.003	2.383	2.529	2.562	2.172	2.728	2.825	3.137	2.361	2.169	2.74	2.442	1.804	1.841	2.533	2.344	2.231	2.918	2.352	2.692	1.993	2.112	2.346	3.072	3.85	2.045	2.742	2.42215	861309.0	1308071.76882
sub-0146	1.955	1.973	2.185	1.722	3.436	2.409	1.874	2.471	2.011	1.925	2.432	1.811	2.432	2.487	2.524	1.906	2.17	2.419	2.132	1.691	1.731	2.008	1.932	2.013	2.48	1.983	2.258	1.769	2.153	1.977	2.46	3.379	1.65	2.484	2.07578	1083115.0	1678452.56595
sub-0147	2.245	1.957	2.203	1.843	2.95	2.488	2.348	2.715	2.166	2.224	2.506	1.822	2.349	2.68	2.417	2.075	2.291	2.531	2.177	1.615	1.844	2.119	2.278	2.052	2.576	2.058	2.287	2.038	2.328	2.123	2.421	3.456	1.617	2.785	2.23533	975130.0	1420751.78049
sub-0178	2.331	1.657	2.369	1.514	3.15	2.667	2.165	2.708	1.886	1.886	2.774	1.688	2.798	2.598	2.565	1.967	2.243	2.659	2.373	1.392	1.533	2.37	2.075	1.92	2.283	2.17	2.336	1.569	2.431	1.987	3.05	3.061	2.251	2.747	2.14758	951378.0	1628257.527
sub-1012	2.056	1.64	1.769	1.354	2.099	2.055	1.606	2.339	1.671	1.67	2.462	1.649	2.213	2.058	1.87	1.802	2.021	2.275	1.93	1.598	1.383	1.689	1.795	1.673	2.014	1.88	2.035	1.274	1.919	1.835	2.236	2.746	1.168	2.124	1.82385	1091304.0	1776912.23698
sub-1120	2.268	1.8	2.25	1.746	3.701	2.563	2.185	2.687	1.976	2.185	2.476	1.828	2.437	2.491	2.55	1.856	2.197	2.561	2.095	1.704	1.726	1.94	2.274	1.977	2.819	2.164	2.29	1.898	2.167	2.067	2.716	3.184	1.855	2.659	2.19561	980907.0	1466001.81932
sub-1160	2.005	1.974	2.127	1.627	2.922	2.358	2.029	2.466	2.045	2.001	2.326	1.664	2.349	2.355	2.159	2.12	1.986	2.277	1.977	1.631	1.598	1.989	2.243	2.076	2.426	2.068	2.408	1.938	2.329	1.837	2.22	3.85	1.875	2.49	2.10546	926802.0	1410364.85514
sub-1230	1.946	1.926	2.233	1.57	2.285	2.441	2.005	2.54	1.7	2.151	2.477	1.679	2.2	2.403	2.245	2.541	1.918	2.342	2.004	1.389	1.706	2.03	2.145	2.259	2.24	1.863	2.406	2.007	2.152	1.817	2.558	2.702	2.024	2.543	2.11509	988762.0	1605694.46145
sub-1310	2.621	2.266	2.397	1.955	3.497	2.763	2.313	2.793	2.409	2.307	2.497	1.865	2.241	2.769	2.361	2.372	2.493	2.485	2.36	1.798	1.902	2.21	2.431	2.283	2.759	2.243	2.487	2.077	2.637	2.407	2.582	3.349	2.003	2.758	2.35681	1099366.0	1466356.06766
sub-1340	2.291	2.058	2.216	1.862	3.649	2.679	2.213	2.741	2.003	2.127	2.387	2.033	2.391	2.637	2.839	2.153	2.235	2.31	2.005	1.687	1.512	2.374	2.26	2.192	2.63	1.942	2.283	1.915	2.414	2.146	2.503	2.859	2.068	2.611	2.20492	1011163.0	1484843.46002
