rh.aparc.a2009s.area	rh_G&S_frontomargin_area	rh_G&S_occipital_inf_area	rh_G&S_paracentral_area	rh_G&S_subcentral_area	rh_G&S_transv_frontopol_area	rh_G&S_cingul-Ant_area	rh_G&S_cingul-Mid-Ant_area	rh_G&S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg&S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet&P_trans_area	rh_S_oc_middle&Lunatus_area	rh_S_oc_sup&transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med&Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0016	659.0	1219.0	1020.0	1071.0	737.0	2241.0	1157.0	1375.0	459.0	310.0	1863.0	1150.0	293.0	588.0	3161.0	5464.0	520.0	856.0	2710.0	1028.0	1326.0	2626.0	858.0	1939.0	2071.0	2026.0	1778.0	1491.0	2170.0	1694.0	582.0	219.0	219.0	1264.0	529.0	672.0	1884.0	1925.0	314.0	132.0	967.0	2766.0	1324.0	2237.0	3057.0	871.0	446.0	805.0	1053.0	738.0	525.0	1969.0	1644.0	1944.0	377.0	2335.0	1427.0	1147.0	840.0	702.0	1687.0	294.0	579.0	871.0	1546.0	1363.0	1738.0	941.0	1147.0	116.0	1136.0	1006.0	4549.0	273.0	98019.8	1139479.0	1826103.15575
sub-0061	670.0	758.0	976.0	1049.0	762.0	2603.0	1081.0	1225.0	560.0	287.0	1699.0	1077.0	327.0	705.0	3141.0	5155.0	494.0	446.0	1806.0	1282.0	1501.0	2492.0	780.0	1752.0	2012.0	1724.0	1840.0	1311.0	1918.0	1661.0	564.0	294.0	204.0	1259.0	596.0	641.0	1959.0	2073.0	419.0	181.0	945.0	2441.0	1398.0	2126.0	2524.0	884.0	482.0	919.0	1193.0	683.0	316.0	2217.0	1702.0	1924.0	290.0	2617.0	716.0	1060.0	461.0	785.0	1817.0	480.0	517.0	1067.0	1675.0	1264.0	1741.0	1208.0	989.0	367.0	977.0	1023.0	5049.0	251.0	95393.6	1123551.0	1588960.31993
sub-0081	799.0	765.0	936.0	1048.0	696.0	1771.0	954.0	1105.0	355.0	208.0	1576.0	773.0	250.0	509.0	2970.0	4244.0	446.0	643.0	1728.0	1125.0	1199.0	2297.0	984.0	2232.0	2004.0	1582.0	1458.0	1305.0	1476.0	1846.0	515.0	234.0	249.0	1206.0	547.0	663.0	1740.0	1749.0	233.0	167.0	963.0	2238.0	1171.0	1863.0	2583.0	932.0	482.0	905.0	914.0	685.0	412.0	1341.0	1880.0	2610.0	449.0	2169.0	729.0	1140.0	633.0	912.0	1578.0	252.0	538.0	1106.0	1791.0	984.0	1562.0	1003.0	940.0	257.0	915.0	1115.0	4269.0	270.0	88175.2	1062350.0	1543150.95008
sub-0119	740.0	796.0	1022.0	1117.0	756.0	2111.0	968.0	1134.0	407.0	263.0	1487.0	869.0	282.0	736.0	2457.0	5072.0	448.0	704.0	1251.0	1066.0	1392.0	2103.0	823.0	1978.0	2159.0	2033.0	1880.0	1540.0	2114.0	2018.0	528.0	339.0	235.0	1251.0	611.0	889.0	2067.0	2050.0	313.0	379.0	997.0	2297.0	1263.0	1957.0	2533.0	1022.0	384.0	777.0	1085.0	806.0	462.0	1417.0	1652.0	2165.0	398.0	3040.0	591.0	950.0	374.0	836.0	1357.0	251.0	464.0	1169.0	2292.0	1127.0	2078.0	1120.0	1439.0	231.0	960.0	1036.0	3870.0	239.0	93027.2	1107517.0	1561030.35302
sub-0122	644.0	834.0	949.0	832.0	883.0	2021.0	956.0	947.0	413.0	200.0	1320.0	909.0	282.0	743.0	2789.0	5170.0	487.0	382.0	1553.0	888.0	1185.0	2168.0	564.0	2117.0	1996.0	1769.0	1627.0	1148.0	1859.0	1907.0	580.0	342.0	288.0	1195.0	571.0	594.0	1605.0	2225.0	314.0	237.0	976.0	2025.0	1509.0	1462.0	2388.0	978.0	418.0	902.0	890.0	549.0	331.0	1253.0	1593.0	1926.0	301.0	2326.0	687.0	813.0	420.0	651.0	1459.0	372.0	462.0	1005.0	2004.0	1068.0	2056.0	1038.0	1034.0	300.0	1119.0	721.0	4129.0	209.0	86867.0	1019573.0	1551132.50624
sub-0134	679.0	910.0	1022.0	981.0	875.0	2195.0	945.0	992.0	324.0	228.0	1468.0	811.0	340.0	696.0	2599.0	4090.0	400.0	596.0	1496.0	1085.0	1308.0	2102.0	1041.0	2081.0	1969.0	1133.0	1756.0	1616.0	1798.0	1774.0	700.0	485.0	263.0	1196.0	671.0	561.0	1738.0	2311.0	313.0	238.0	848.0	2009.0	1099.0	1695.0	2480.0	878.0	485.0	902.0	1008.0	610.0	407.0	1507.0	1440.0	2016.0	161.0	2232.0	592.0	1128.0	554.0	834.0	1646.0	396.0	786.0	1031.0	1564.0	930.0	2011.0	997.0	1078.0	310.0	655.0	743.0	4594.0	178.0	87589.5	1092548.0	1584051.21033
sub-0139	944.0	916.0	930.0	1009.0	836.0	2381.0	976.0	1003.0	454.0	261.0	1752.0	1005.0	301.0	911.0	2652.0	5273.0	452.0	620.0	1673.0	1035.0	1681.0	2001.0	734.0	2386.0	2191.0	1875.0	1510.0	1043.0	1341.0	1709.0	648.0	330.0	183.0	1185.0	518.0	734.0	1344.0	1885.0	326.0	324.0	1001.0	2535.0	1218.0	2035.0	2309.0	1013.0	345.0	831.0	1033.0	507.0	426.0	2022.0	1908.0	2214.0	388.0	2679.0	774.0	978.0	437.0	701.0	1536.0	341.0	661.0	1266.0	1690.0	1039.0	1967.0	1304.0	950.0	159.0	861.0	897.0	4958.0	259.0	92573.8	1084432.0	1675398.01476
sub-0140	794.0	935.0	1211.0	1353.0	1072.0	2650.0	1096.0	1381.0	419.0	211.0	1725.0	923.0	379.0	774.0	3474.0	5539.0	615.0	837.0	1351.0	1089.0	1827.0	1908.0	1297.0	2081.0	2209.0	2258.0	1745.0	1664.0	1838.0	1731.0	645.0	417.0	303.0	1340.0	760.0	660.0	2122.0	2040.0	324.0	268.0	1151.0	2154.0	1312.0	2304.0	2628.0	990.0	437.0	1011.0	1143.0	1084.0	213.0	1531.0	1898.0	2646.0	372.0	2672.0	648.0	1170.0	581.0	1163.0	1627.0	307.0	619.0	1085.0	1863.0	1081.0	2601.0	1590.0	1026.0	330.0	926.0	1220.0	4393.0	261.0	101299.0	1133888.0	1864168.92205
sub-0141	708.0	1092.0	1148.0	1190.0	930.0	2643.0	978.0	1137.0	445.0	270.0	1651.0	1140.0	365.0	1137.0	2785.0	4919.0	495.0	573.0	1594.0	1025.0	1854.0	2024.0	987.0	2196.0	2394.0	1965.0	1730.0	1466.0	1993.0	1709.0	613.0	422.0	364.0	1288.0	543.0	910.0	1687.0	1897.0	364.0	251.0	1165.0	2694.0	1064.0	1861.0	2637.0	1024.0	505.0	991.0	1065.0	762.0	304.0	1625.0	2087.0	2120.0	278.0	2680.0	874.0	713.0	300.0	941.0	1206.0	576.0	542.0	1077.0	1737.0	979.0	2276.0	1348.0	1101.0	350.0	851.0	724.0	4587.0	335.0	96263.9	1103716.0	1776912.23698
sub-0142	520.0	968.0	880.0	972.0	710.0	1697.0	816.0	1034.0	353.0	207.0	1244.0	959.0	227.0	577.0	2907.0	4124.0	443.0	536.0	1823.0	866.0	1277.0	2116.0	561.0	1650.0	1826.0	1410.0	1791.0	1295.0	1763.0	1584.0	436.0	323.0	167.0	1222.0	502.0	566.0	1404.0	1902.0	134.0	177.0	917.0	2131.0	954.0	1378.0	2311.0	856.0	480.0	828.0	911.0	474.0	308.0	1159.0	1094.0	1784.0	452.0	2223.0	700.0	922.0	884.0	693.0	1420.0	493.0	481.0	645.0	1451.0	1015.0	1908.0	889.0	1326.0	190.0	882.0	1045.0	4567.0	203.0	81943.0	953081.0	1571695.22621
