lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0039	887.0	651.0	2268.0	1418.0	353.0	3060.0	4210.0	3299.0	862.0	4665.0	2607.0	3271.0	2000.0	3132.0	688.0	1288.0	1853.0	633.0	1139.0	1270.0	4319.0	1141.0	4860.0	3757.0	813.0	5044.0	6359.0	5144.0	3738.0	3392.0	208.0	481.0	433.0	2289.0	81522.2	1067973.0	1442462.66838
sub-0041	991.0	645.0	2654.0	2082.0	468.0	3764.0	5120.0	3855.0	999.0	5560.0	2578.0	3394.0	1542.0	3474.0	646.0	1461.0	1692.0	611.0	1328.0	1818.0	4290.0	1116.0	4660.0	4232.0	962.0	5385.0	7298.0	6641.0	3615.0	3982.0	256.0	509.0	430.0	2589.0	90639.9	1117012.0	1513870.08802
sub-0042	1088.0	851.0	2190.0	1877.0	453.0	3420.0	4703.0	3653.0	1292.0	5271.0	2768.0	3146.0	1561.0	3439.0	669.0	1414.0	1633.0	658.0	1448.0	1691.0	4372.0	1492.0	4872.0	4288.0	968.0	5991.0	8329.0	5875.0	3929.0	4411.0	219.0	517.0	439.0	2692.0	91614.6	1139605.0	1546304.60749
sub-0043	651.0	548.0	2184.0	1769.0	575.0	3092.0	4273.0	3985.0	1016.0	5622.0	2728.0	3478.0	1712.0	3322.0	719.0	1657.0	1613.0	778.0	1210.0	1696.0	4277.0	1246.0	5471.0	4182.0	664.0	6079.0	9580.0	6725.0	2993.0	3853.0	265.0	529.0	360.0	2505.0	91343.0	1093126.0	1488425.96978
sub-0044	1102.0	760.0	2057.0	1003.0	382.0	3271.0	4433.0	3631.0	1181.0	4027.0	2790.0	2878.0	1848.0	3579.0	789.0	1332.0	1693.0	852.0	1770.0	1147.0	3910.0	1440.0	4856.0	3492.0	856.0	5606.0	7348.0	5065.0	4421.0	5033.0	261.0	496.0	483.0	2860.0	86646.5	1141797.0	1570025.48511
sub-0053	959.0	692.0	2062.0	1213.0	584.0	2721.0	4556.0	3128.0	1127.0	4854.0	2525.0	2248.0	1735.0	3141.0	589.0	1363.0	1637.0	636.0	1127.0	953.0	4070.0	1438.0	5186.0	4077.0	959.0	5511.0	7286.0	5472.0	4007.0	3452.0	246.0	495.0	423.0	2761.0	83139.5	1047785.0	1563927.20032
sub-0057	708.0	676.0	2455.0	1067.0	383.0	2724.0	4402.0	2864.0	1252.0	4823.0	2483.0	2818.0	1810.0	2654.0	617.0	1628.0	1394.0	613.0	1144.0	1155.0	4057.0	1274.0	5805.0	3877.0	771.0	5113.0	7125.0	5371.0	2971.0	3028.0	244.0	388.0	450.0	2404.0	80548.5	916095.0	1545364.52291
sub-0058	893.0	577.0	2356.0	1262.0	416.0	3220.0	4420.0	3275.0	1072.0	4953.0	2566.0	3248.0	1671.0	3215.0	762.0	1356.0	1607.0	625.0	1269.0	1425.0	3746.0	1004.0	4556.0	3321.0	868.0	4889.0	7111.0	4651.0	3630.0	3630.0	197.0	342.0	464.0	2568.0	81165.4	1030574.0	1393762.8743
sub-0060	911.0	601.0	1461.0	1585.0	499.0	3109.0	3877.0	3203.0	826.0	5000.0	2640.0	3003.0	1697.0	2910.0	595.0	1370.0	1204.0	624.0	1158.0	1125.0	3772.0	1192.0	4544.0	3398.0	640.0	4995.0	6347.0	4935.0	3501.0	4086.0	236.0	442.0	419.0	2449.0	78286.8	977133.0	1205966.67051
sub-0062	881.0	728.0	2778.0	1808.0	479.0	3074.0	4875.0	4157.0	1274.0	6638.0	3216.0	3647.0	2165.0	3618.0	683.0	1403.0	1890.0	964.0	1535.0	1827.0	4270.0	1691.0	6026.0	4000.0	1142.0	7471.0	7736.0	4701.0	4848.0	4119.0	245.0	491.0	537.0	3032.0	97934.4	1289435.0	1776265.02628
