lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-0039	1988.0	1877.0	5801.0	3194.0	1734.0	10536.0	10814.0	10971.0	2090.0	12151.0	7995.0	7775.0	5813.0	10549.0	2142.0	2907.0	4651.0	2198.0	3061.0	2282.0	10416.0	2781.0	13699.0	9097.0	2433.0	12535.0	16794.0	11267.0	12061.0	9083.0	707.0	2490.0	1313.0	7050.0	1067973.0	1442462.66838
sub-0041	2494.0	1666.0	6896.0	4178.0	2010.0	11990.0	13788.0	12709.0	2556.0	13873.0	7515.0	6596.0	4000.0	11046.0	2091.0	3638.0	4759.0	1940.0	3274.0	2921.0	9599.0	2872.0	13409.0	10457.0	2914.0	13706.0	20792.0	15520.0	10551.0	10730.0	929.0	2305.0	1062.0	6952.0	1117012.0	1513870.08802
sub-0042	2662.0	2479.0	5546.0	4131.0	1882.0	10906.0	12066.0	11793.0	3376.0	13209.0	7128.0	7238.0	3714.0	11886.0	2179.0	4055.0	4341.0	2225.0	3652.0	3106.0	10649.0	4076.0	13914.0	10664.0	2901.0	13518.0	22224.0	13963.0	12116.0	12002.0	742.0	2106.0	1371.0	7627.0	1139605.0	1546304.60749
sub-0043	1347.0	1256.0	5381.0	3658.0	2159.0	10017.0	12231.0	13163.0	2438.0	14025.0	8688.0	7681.0	4858.0	10554.0	2143.0	4163.0	4190.0	2656.0	2905.0	2743.0	8478.0	3301.0	13961.0	10531.0	1800.0	15794.0	26943.0	15550.0	8016.0	10190.0	1000.0	2365.0	803.0	6840.0	1093126.0	1488425.96978
sub-0044	2686.0	2302.0	6334.0	2161.0	1473.0	10827.0	12035.0	12178.0	3003.0	9358.0	7721.0	6861.0	5348.0	13754.0	2922.0	3543.0	5028.0	2816.0	4937.0	1839.0	9049.0	4078.0	14532.0	9094.0	2727.0	14819.0	23912.0	11701.0	14748.0	14043.0	953.0	2076.0	1168.0	8785.0	1141797.0	1570025.48511
sub-0053	2150.0	1858.0	5701.0	2221.0	2629.0	8193.0	11081.0	9848.0	2638.0	11093.0	6693.0	4366.0	4469.0	10818.0	1867.0	3482.0	4588.0	2056.0	2977.0	1345.0	9418.0	3508.0	13905.0	9970.0	2659.0	13749.0	20615.0	13005.0	12255.0	9280.0	793.0	2584.0	1177.0	7355.0	1047785.0	1563927.20032
sub-0057	1464.0	1353.0	5032.0	2338.0	2360.0	8925.0	10954.0	9504.0	2771.0	11893.0	7460.0	6242.0	5261.0	7998.0	2216.0	3218.0	3520.0	2105.0	2839.0	2034.0	7903.0	2663.0	12747.0	8924.0	2446.0	12213.0	18518.0	12477.0	7923.0	7916.0	1061.0	2446.0	1168.0	7752.0	916095.0	1545364.52291
sub-0058	2347.0	1122.0	6387.0	2686.0	2345.0	10932.0	12337.0	11839.0	2736.0	12785.0	7227.0	7107.0	4291.0	11558.0	2669.0	3251.0	4173.0	2154.0	3186.0	2389.0	8473.0	2156.0	12284.0	7953.0	2913.0	11840.0	21310.0	11397.0	11757.0	10010.0	779.0	1981.0	998.0	7667.0	1030574.0	1393762.8743
sub-0060	2236.0	1767.0	3384.0	3100.0	2596.0	10386.0	11077.0	11546.0	2254.0	13305.0	7603.0	7020.0	5204.0	10257.0	2076.0	3404.0	3545.0	2187.0	3273.0	1714.0	8635.0	3186.0	12376.0	8055.0	2057.0	12832.0	18316.0	11772.0	11624.0	12123.0	854.0	2262.0	1051.0	7355.0	977133.0	1205966.67051
sub-0062	2592.0	1845.0	6943.0	3987.0	2595.0	10772.0	12890.0	16111.0	3299.0	17682.0	9898.0	9414.0	5963.0	13068.0	1929.0	3674.0	5251.0	3152.0	3856.0	3294.0	10461.0	4361.0	15866.0	10840.0	3349.0	18194.0	22343.0	11984.0	15916.0	11230.0	953.0	2932.0	1433.0	9993.0	1289435.0	1776265.02628
