lh.BA_exvivo.volume	lh_BA1_exvivo_volume	lh_BA2_exvivo_volume	lh_BA3a_exvivo_volume	lh_BA3b_exvivo_volume	lh_BA4a_exvivo_volume	lh_BA4p_exvivo_volume	lh_BA6_exvivo_volume	lh_BA44_exvivo_volume	lh_BA45_exvivo_volume	lh_V1_exvivo_volume	lh_V2_exvivo_volume	lh_MT_exvivo_volume	lh_perirhinal_exvivo_volume	lh_entorhinal_exvivo_volume	BrainSegVolNotVent	eTIV
sub-0039	2494.0	5207.0	1236.0	3592.0	2873.0	2544.0	16944.0	4273.0	4938.0	4450.0	12603.0	3782.0	1687.0	1637.0	1067973.0	1442462.66838
sub-0041	2084.0	6397.0	1186.0	3311.0	3181.0	2649.0	19679.0	4030.0	5468.0	5564.0	12778.0	3769.0	1576.0	2916.0	1117012.0	1513870.08802
sub-0042	2396.0	6201.0	1217.0	3855.0	3541.0	2821.0	19607.0	3982.0	5572.0	5903.0	13553.0	3902.0	1846.0	1592.0	1139605.0	1546304.60749
sub-0043	1693.0	5759.0	1118.0	3046.0	3370.0	2369.0	23250.0	4240.0	4537.0	5333.0	13677.0	4192.0	1821.0	2034.0	1093126.0	1488425.96978
sub-0044	1806.0	5876.0	1125.0	3145.0	3057.0	2191.0	21438.0	4962.0	6578.0	3480.0	10035.0	3180.0	2126.0	2268.0	1141797.0	1570025.48511
sub-0053	1700.0	5382.0	1260.0	3530.0	2970.0	2557.0	18399.0	4842.0	4734.0	2971.0	9744.0	3009.0	2192.0	1818.0	1047785.0	1563927.20032
sub-0057	1306.0	5173.0	1085.0	2551.0	2474.0	2011.0	17131.0	4036.0	4173.0	4799.0	10413.0	3614.0	2052.0	2191.0	916095.0	1545364.52291
sub-0058	1645.0	5050.0	1235.0	3054.0	2747.0	2507.0	19162.0	3800.0	4877.0	4569.0	11403.0	4231.0	2165.0	1205.0	1030574.0	1393762.8743
sub-0060	1637.0	5982.0	998.0	3273.0	2947.0	2130.0	16216.0	3601.0	4306.0	3939.0	12537.0	4239.0	1945.0	3054.0	977133.0	1205966.67051
sub-0062	2105.0	5247.0	1694.0	3695.0	3373.0	3173.0	20273.0	4837.0	6863.0	6585.0	16211.0	5402.0	2073.0	1560.0	1289435.0	1776265.02628
