lh.aparc.DKTatlas.area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0039	977.0	2451.0	1935.0	344.0	2838.0	4218.0	3301.0	890.0	4585.0	2953.0	3377.0	1592.0	4099.0	718.0	1548.0	1767.0	616.0	1324.0	1236.0	4861.0	1249.0	4785.0	3626.0	1057.0	3818.0	6957.0	4071.0	4883.0	3170.0	421.0	1877.0	81545.9	1067973.0	1442462.66838
sub-0041	1170.0	2806.0	2600.0	422.0	3459.0	5263.0	3882.0	1009.0	5470.0	3006.0	3494.0	1366.0	4636.0	694.0	1705.0	1587.0	566.0	1670.0	1828.0	4923.0	1239.0	4620.0	4121.0	1233.0	3721.0	7939.0	5467.0	4888.0	3485.0	430.0	1954.0	90653.0	1117012.0	1513870.08802
sub-0042	1319.0	2322.0	2462.0	434.0	3126.0	4953.0	3665.0	1306.0	5232.0	3000.0	3258.0	1467.0	4589.0	675.0	1679.0	1486.0	710.0	1789.0	1696.0	4930.0	1569.0	4777.0	4167.0	1369.0	4173.0	9164.0	4708.0	5134.0	3987.0	449.0	2026.0	91622.5	1139605.0	1546304.60749
sub-0043	1061.0	2378.0	2295.0	478.0	2840.0	4239.0	3976.0	1058.0	5648.0	2965.0	3557.0	1401.0	4361.0	753.0	2028.0	1465.0	789.0	1541.0	1681.0	4888.0	1331.0	5438.0	4124.0	952.0	4194.0	10350.0	5498.0	4043.0	3548.0	360.0	2120.0	91360.3	1093126.0	1488425.96978
sub-0044	1199.0	2225.0	1414.0	421.0	2901.0	4562.0	3706.0	1187.0	4022.0	2996.0	2979.0	1816.0	4715.0	800.0	1633.0	1572.0	949.0	2068.0	1109.0	4518.0	1515.0	4763.0	3433.0	1218.0	4016.0	7992.0	4179.0	5650.0	4495.0	461.0	2145.0	86661.6	1141797.0	1570025.48511
sub-0053	1137.0	2188.0	1702.0	514.0	2460.0	4537.0	3140.0	1123.0	4856.0	2827.0	2279.0	1635.0	4117.0	643.0	1610.0	1557.0	617.0	1375.0	923.0	4578.0	1539.0	5169.0	4014.0	1293.0	3813.0	8112.0	4496.0	5216.0	3233.0	424.0	2028.0	83153.6	1047785.0	1563927.20032
sub-0057	1297.0	2595.0	1524.0	334.0	2440.0	4344.0	3003.0	1280.0	4733.0	2701.0	2880.0	1678.0	3565.0	685.0	1888.0	1279.0	672.0	1409.0	1121.0	4637.0	1353.0	5757.0	3820.0	1171.0	3704.0	7464.0	4421.0	3818.0	2824.0	431.0	1746.0	80572.7	916095.0	1545364.52291
sub-0058	991.0	2525.0	1812.0	394.0	2927.0	4511.0	3255.0	1048.0	4921.0	2899.0	3344.0	1573.0	4251.0	771.0	1635.0	1486.0	637.0	1483.0	1428.0	4197.0	1250.0	4565.0	3159.0	1182.0	3660.0	7324.0	3722.0	4601.0	3279.0	458.0	1884.0	81173.6	1030574.0	1393762.8743
sub-0060	934.0	1553.0	2235.0	454.0	2749.0	3947.0	3297.0	836.0	4989.0	2905.0	3064.0	1539.0	3847.0	652.0	1609.0	1120.0	614.0	1318.0	1097.0	4353.0	1261.0	4511.0	3292.0	891.0	3453.0	7350.0	3851.0	4599.0	3757.0	425.0	1795.0	78294.8	977133.0	1205966.67051
sub-0062	1301.0	3005.0	2404.0	393.0	2788.0	4968.0	4081.0	1245.0	6592.0	3568.0	3709.0	1980.0	4709.0	735.0	1590.0	1731.0	857.0	2090.0	1831.0	4727.0	1793.0	5959.0	3853.0	1610.0	5348.0	8513.0	3665.0	6072.0	3847.0	518.0	2461.0	97944.7	1289435.0	1776265.02628
sub-0064	3987.0	1934.0	2267.0	408.0	2809.0	4575.0	2857.0	1173.0	4090.0	3557.0	3003.0	2629.0	3746.0	780.0	1531.0	1481.0	806.0	2226.0	1372.0	5254.0	2398.0	4452.0	3494.0	1633.0	5442.0	12468.0	4127.0	5652.0	5220.0	390.0	2173.0	97935.0	1198044.0	3132919.29087
sub-0066	1107.0	2537.0	2060.0	499.0	2588.0	4986.0	3685.0	1153.0	4389.0	3192.0	2454.0	1575.0	4012.0	711.0	1598.0	1554.0	689.0	1682.0	1038.0	4807.0	1402.0	4841.0	4385.0	1278.0	3987.0	8075.0	4705.0	4441.0	4012.0	400.0	1940.0	85784.5	1084847.0	1462947.37819
sub-0067	978.0	2266.0	1911.0	410.0	2613.0	4277.0	3127.0	969.0	4623.0	2857.0	2953.0	1239.0	3853.0	611.0	1471.0	1268.0	729.0	1673.0	1404.0	4327.0	1242.0	4686.0	3772.0	909.0	3833.0	7369.0	4709.0	5025.0	3359.0	526.0	1842.0	80830.7	1040745.0	1385606.54043
sub-0071	1058.0	2137.0	1610.0	352.0	2593.0	4189.0	3649.0	811.0	4302.0	2521.0	2549.0	1389.0	4028.0	616.0	1563.0	1134.0	523.0	1217.0	915.0	3804.0	1200.0	4268.0	3774.0	1233.0	3473.0	7404.0	4027.0	4908.0	3043.0	367.0	1633.0	76289.1	1009957.0	1378600.06314
sub-0072	879.0	2413.0	1980.0	397.0	2873.0	4748.0	3293.0	1213.0	5222.0	3091.0	3244.0	1732.0	3987.0	652.0	1654.0	1384.0	693.0	1479.0	1483.0	5112.0	1122.0	5046.0	3631.0	1153.0	4058.0	8224.0	3593.0	4887.0	3979.0	495.0	2082.0	85801.5	1131610.0	1525486.91608
sub-0073	549.0	446.0	763.0	50.0	557.0	1648.0	862.0	605.0	4543.0	1067.0	646.0	0.0	1217.0	0.0	1082.0	465.0	259.0	586.0	484.0	1569.0	614.0	1319.0	1503.0	10.0	842.0	2229.0	1057.0	2293.0	1337.0	466.0	1529.0	30597.1	428721.0	104144.590512
sub-0077	1359.0	2614.0	2651.0	385.0	3267.0	5155.0	3658.0	1295.0	5912.0	3299.0	3602.0	1839.0	4268.0	634.0	1633.0	1544.0	898.0	1621.0	1626.0	5061.0	1419.0	5333.0	4299.0	1296.0	3991.0	8927.0	4926.0	5357.0	3759.0	410.0	2192.0	94230.5	1243118.0	1638396.83303
sub-0078	1238.0	1909.0	2203.0	486.0	3040.0	4703.0	3770.0	982.0	5307.0	3420.0	3418.0	1617.0	4106.0	649.0	1816.0	1666.0	831.0	1875.0	1239.0	5054.0	1352.0	5000.0	4542.0	1387.0	4446.0	8928.0	4757.0	4981.0	4083.0	461.0	2173.0	91438.0	1164610.0	1591966.66264
sub-0079	1101.0	2383.0	2346.0	495.0	2842.0	4315.0	3963.0	1069.0	5659.0	3023.0	3710.0	1666.0	4271.0	743.0	2043.0	1462.0	780.0	1556.0	1688.0	4912.0	1340.0	5418.0	4175.0	974.0	4204.0	10223.0	5445.0	4038.0	3551.0	349.0	2090.0	91835.8	1096560.0	1488425.96978
sub-0080	1230.0	2420.0	2230.0	318.0	2812.0	4660.0	3974.0	1106.0	5130.0	3272.0	2973.0	1956.0	4196.0	695.0	1716.0	1247.0	632.0	1554.0	1227.0	4644.0	1428.0	4918.0	3821.0	1399.0	5126.0	9611.0	4682.0	4292.0	3438.0	345.0	1917.0	88970.2	1191370.0	1613504.469
sub-0082	1422.0	3073.0	1654.0	492.0	2930.0	4753.0	3723.0	1165.0	4686.0	3645.0	3300.0	1733.0	4411.0	722.0	1747.0	1764.0	758.0	1868.0	1324.0	4667.0	1339.0	5516.0	3862.0	1703.0	4708.0	9517.0	4763.0	5371.0	4243.0	453.0	2155.0	93469.0	1193592.0	1649751.03428
sub-0085	1155.0	1778.0	1838.0	595.0	2963.0	4310.0	3305.0	937.0	4613.0	2721.0	2660.0	1551.0	3720.0	811.0	1793.0	1285.0	770.0	1473.0	1360.0	4794.0	1649.0	4728.0	3530.0	1025.0	4130.0	7703.0	3837.0	4822.0	3821.0	551.0	2006.0	82231.8	1054724.0	1480778.17696
sub-0100	1219.0	2374.0	1762.0	421.0	2830.0	5267.0	3725.0	902.0	5245.0	2975.0	2813.0	1632.0	4410.0	728.0	1694.0	1291.0	701.0	1353.0	1252.0	5157.0	911.0	4847.0	3924.0	1240.0	4489.0	8733.0	4921.0	4925.0	3633.0	405.0	1829.0	87610.1	1148366.0	1570498.95767
sub-0102	1282.0	2767.0	2706.0	553.0	3736.0	5658.0	3480.0	1218.0	5782.0	3554.0	3956.0	1580.0	4297.0	641.0	2114.0	1372.0	696.0	1546.0	1792.0	5197.0	1256.0	5960.0	4633.0	1176.0	5294.0	9485.0	4882.0	6187.0	3576.0	453.0	2267.0	99092.9	1256669.0	1734647.16464
sub-0104	1290.0	2579.0	2123.0	426.0	3101.0	5040.0	4783.0	1043.0	4948.0	3638.0	2794.0	1962.0	5238.0	818.0	1753.0	1469.0	693.0	1592.0	1328.0	4713.0	1418.0	4650.0	4714.0	1432.0	4279.0	8856.0	5219.0	5577.0	4442.0	454.0	2128.0	94497.2	1202410.0	1588832.71461
sub-0107	1229.0	2520.0	1855.0	479.0	2895.0	4516.0	3659.0	1489.0	5051.0	3300.0	3335.0	1624.0	3987.0	784.0	1577.0	1497.0	723.0	1788.0	1604.0	4573.0	1509.0	4991.0	4856.0	1411.0	4279.0	8141.0	5608.0	4528.0	3730.0	429.0	2031.0	89998.9	1154737.0	1547836.86751
sub-0108	1214.0	2364.0	2308.0	523.0	3114.0	5290.0	3624.0	1131.0	5779.0	3674.0	3615.0	1649.0	4686.0	594.0	1580.0	1632.0	805.0	2035.0	1429.0	4530.0	1461.0	5839.0	3882.0	1552.0	4269.0	9088.0	4172.0	5249.0	4149.0	450.0	1998.0	93685.9	1129989.0	1601099.67064
sub-0110	1441.0	3350.0	2448.0	618.0	3040.0	5177.0	3818.0	1712.0	6089.0	3440.0	4293.0	1938.0	4520.0	817.0	2069.0	1838.0	746.0	2181.0	2034.0	5507.0	1458.0	5686.0	4142.0	1814.0	5403.0	10801.0	4594.0	5330.0	5651.0	529.0	2835.0	105321.0	1299190.0	1848937.15163
sub-0113	1021.0	2187.0	2333.0	331.0	2123.0	3423.0	3103.0	1013.0	4660.0	2562.0	2692.0	1288.0	3437.0	695.0	1499.0	1429.0	599.0	1569.0	1393.0	4021.0	1118.0	4684.0	2921.0	1162.0	3546.0	7031.0	3826.0	4169.0	2583.0	384.0	1892.0	74693.7	917912.0	1401103.92939
sub-0117	1088.0	2229.0	2328.0	316.0	2589.0	4620.0	2995.0	1059.0	5063.0	3019.0	3226.0	1490.0	3788.0	603.0	1913.0	1302.0	638.0	1470.0	1649.0	4648.0	1271.0	4748.0	3811.0	1246.0	3900.0	7448.0	5140.0	4255.0	3269.0	357.0	1981.0	83458.1	1046908.0	1439661.79245
sub-0121	1280.0	2614.0	2147.0	433.0	2549.0	4226.0	3048.0	1106.0	4348.0	2908.0	3040.0	1348.0	3597.0	671.0	1712.0	1407.0	621.0	1397.0	1478.0	5186.0	1504.0	4487.0	4464.0	1247.0	3762.0	7479.0	4977.0	4498.0	3205.0	385.0	1813.0	82936.7	1045027.0	1405787.88543
sub-0124	1041.0	2019.0	1545.0	368.0	2427.0	3893.0	3080.0	982.0	4111.0	2689.0	2886.0	1456.0	4047.0	684.0	1340.0	1242.0	609.0	1330.0	1196.0	4253.0	1253.0	4306.0	2940.0	969.0	3526.0	7011.0	3150.0	4682.0	3041.0	328.0	1733.0	74136.1	997073.0	1367328.18002
sub-0128	1025.0	2388.0	2193.0	396.0	2682.0	4031.0	3125.0	1130.0	4665.0	3045.0	3347.0	1630.0	4082.0	664.0	1739.0	1600.0	647.0	1570.0	1660.0	5100.0	1476.0	5150.0	3519.0	981.0	3982.0	8992.0	4828.0	5014.0	3978.0	420.0	2171.0	87231.0	1142571.0	1649933.42236
sub-0130	1583.0	2791.0	1981.0	376.0	2864.0	4240.0	3441.0	1201.0	4347.0	3345.0	3171.0	1806.0	4256.0	683.0	1802.0	1466.0	716.0	1498.0	1630.0	5412.0	1793.0	5225.0	3927.0	1355.0	4090.0	7524.0	4427.0	4864.0	4372.0	409.0	2086.0	88680.3	1109147.0	1577833.33762
