lh.aparc.DKTatlas.volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-0039	2501.0	6287.0	4422.0	1727.0	8954.0	11013.0	11772.0	2170.0	12027.0	9238.0	8011.0	5049.0	12929.0	2215.0	3700.0	4418.0	1733.0	3415.0	2205.0	11455.0	3061.0	13478.0	8838.0	2876.0	9941.0	18170.0	8875.0	16085.0	8429.0	1302.0	6033.0	1067973.0	1442462.66838
sub-0041	3055.0	7306.0	5346.0	1815.0	10480.0	14019.0	13351.0	2582.0	13685.0	8955.0	6821.0	3635.0	13984.0	2210.0	4392.0	4398.0	1552.0	4205.0	2952.0	11019.0	3099.0	13273.0	10364.0	3430.0	9576.0	22325.0	12713.0	14944.0	9581.0	1061.0	5631.0	1117012.0	1513870.08802
sub-0042	3439.0	5755.0	5331.0	1854.0	9876.0	12776.0	11937.0	3412.0	13129.0	7597.0	7349.0	3603.0	15001.0	2227.0	4696.0	3988.0	2235.0	4456.0	3148.0	11909.0	4297.0	13603.0	10605.0	3670.0	9516.0	24626.0	11168.0	15835.0	10832.0	1371.0	6216.0	1139605.0	1546304.60749
sub-0043	2649.0	5852.0	5040.0	1798.0	9057.0	12270.0	13421.0	2495.0	13987.0	9535.0	7874.0	4172.0	13197.0	2279.0	5260.0	3862.0	2235.0	3592.0	2711.0	9817.0	3506.0	13952.0	10532.0	2563.0	11210.0	29030.0	12450.0	11454.0	9287.0	803.0	5957.0	1093126.0	1488425.96978
sub-0044	3421.0	6714.0	3143.0	1620.0	8954.0	12590.0	12955.0	3022.0	9485.0	8357.0	7006.0	5437.0	16730.0	3037.0	4389.0	4705.0	2703.0	5481.0	1781.0	10192.0	4205.0	14231.0	9120.0	3549.0	11374.0	25638.0	9665.0	18638.0	12362.0	1128.0	7225.0	1141797.0	1570025.48511
sub-0053	2829.0	6001.0	3299.0	2384.0	7077.0	11032.0	10134.0	2662.0	11275.0	7708.0	4418.0	4159.0	13034.0	2036.0	4137.0	4397.0	1843.0	3388.0	1297.0	10667.0	3675.0	13844.0	9938.0	3382.0	9865.0	22833.0	10570.0	16773.0	8643.0	1181.0	5914.0	1047785.0	1563927.20032
sub-0057	2855.0	5388.0	3171.0	2098.0	7469.0	11036.0	11119.0	2821.0	11702.0	8432.0	6335.0	5248.0	9744.0	2371.0	3864.0	3212.0	2083.0	3244.0	1990.0	9002.0	2822.0	12566.0	8945.0	3068.0	9177.0	19657.0	10479.0	11211.0	7347.0	1119.0	6097.0	916095.0	1545364.52291
sub-0058	2522.0	6748.0	3821.0	2311.0	9283.0	12925.0	12501.0	2745.0	12752.0	8355.0	7263.0	4319.0	14168.0	2698.0	3978.0	3826.0	1952.0	3587.0	2386.0	9500.0	2609.0	12242.0	7829.0	3494.0	9218.0	21507.0	9150.0	15449.0	8814.0	984.0	6111.0	1030574.0	1393762.8743
sub-0060	2625.0	3584.0	4523.0	2393.0	8695.0	11509.0	12234.0	2287.0	13437.0	8559.0	7136.0	4644.0	12604.0	2309.0	4115.0	3330.0	1845.0	3421.0	1658.0	10005.0	3245.0	12319.0	8049.0	2594.0	9189.0	21294.0	9240.0	15817.0	10780.0	1060.0	5955.0	977133.0	1205966.67051
sub-0062	3160.0	7487.0	5481.0	2225.0	9325.0	13262.0	15719.0	3277.0	17510.0	11098.0	9603.0	5714.0	17131.0	2070.0	4410.0	4800.0	2567.0	5158.0	3323.0	11641.0	4603.0	15670.0	10690.0	4560.0	13651.0	23691.0	9126.0	20808.0	10345.0	1391.0	8600.0	1289435.0	1776265.02628
sub-0064	4604.0	5306.0	4173.0	1833.0	7828.0	11486.0	9446.0	2559.0	8904.0	9567.0	6126.0	5988.0	12087.0	2207.0	4010.0	4603.0	2357.0	6213.0	2070.0	12120.0	4211.0	12794.0	8735.0	2994.0	15068.0	30525.0	8554.0	17887.0	13733.0	1258.0	5981.0	1198044.0	3132919.29087
sub-0066	2628.0	7024.0	4600.0	2314.0	8392.0	14074.0	13815.0	2870.0	12729.0	9854.0	6307.0	4797.0	14684.0	2797.0	4704.0	4345.0	2365.0	4772.0	1857.0	10983.0	3485.0	13807.0	11347.0	3982.0	10564.0	24672.0	11523.0	14423.0	10653.0	1159.0	6310.0	1084847.0	1462947.37819
sub-0067	2629.0	5835.0	4019.0	1945.0	8587.0	12668.0	11961.0	2587.0	12220.0	8631.0	6485.0	3736.0	13203.0	2188.0	4341.0	3493.0	2370.0	4285.0	2303.0	10503.0	3591.0	13353.0	10354.0	3058.0	10645.0	22114.0	11909.0	16961.0	9332.0	1369.0	5818.0	1040745.0	1385606.54043
