lh.aparc.a2009s.volume	lh_G&S_frontomargin_volume	lh_G&S_occipital_inf_volume	lh_G&S_paracentral_volume	lh_G&S_subcentral_volume	lh_G&S_transv_frontopol_volume	lh_G&S_cingul-Ant_volume	lh_G&S_cingul-Mid-Ant_volume	lh_G&S_cingul-Mid-Post_volume	lh_G_cingul-Post-dorsal_volume	lh_G_cingul-Post-ventral_volume	lh_G_cuneus_volume	lh_G_front_inf-Opercular_volume	lh_G_front_inf-Orbital_volume	lh_G_front_inf-Triangul_volume	lh_G_front_middle_volume	lh_G_front_sup_volume	lh_G_Ins_lg&S_cent_ins_volume	lh_G_insular_short_volume	lh_G_occipital_middle_volume	lh_G_occipital_sup_volume	lh_G_oc-temp_lat-fusifor_volume	lh_G_oc-temp_med-Lingual_volume	lh_G_oc-temp_med-Parahip_volume	lh_G_orbital_volume	lh_G_pariet_inf-Angular_volume	lh_G_pariet_inf-Supramar_volume	lh_G_parietal_sup_volume	lh_G_postcentral_volume	lh_G_precentral_volume	lh_G_precuneus_volume	lh_G_rectus_volume	lh_G_subcallosal_volume	lh_G_temp_sup-G_T_transv_volume	lh_G_temp_sup-Lateral_volume	lh_G_temp_sup-Plan_polar_volume	lh_G_temp_sup-Plan_tempo_volume	lh_G_temporal_inf_volume	lh_G_temporal_middle_volume	lh_Lat_Fis-ant-Horizont_volume	lh_Lat_Fis-ant-Vertical_volume	lh_Lat_Fis-post_volume	lh_Pole_occipital_volume	lh_Pole_temporal_volume	lh_S_calcarine_volume	lh_S_central_volume	lh_S_cingul-Marginalis_volume	lh_S_circular_insula_ant_volume	lh_S_circular_insula_inf_volume	lh_S_circular_insula_sup_volume	lh_S_collat_transv_ant_volume	lh_S_collat_transv_post_volume	lh_S_front_inf_volume	lh_S_front_middle_volume	lh_S_front_sup_volume	lh_S_interm_prim-Jensen_volume	lh_S_intrapariet&P_trans_volume	lh_S_oc_middle&Lunatus_volume	lh_S_oc_sup&transversal_volume	lh_S_occipital_ant_volume	lh_S_oc-temp_lat_volume	lh_S_oc-temp_med&Lingual_volume	lh_S_orbital_lateral_volume	lh_S_orbital_med-olfact_volume	lh_S_orbital-H_Shaped_volume	lh_S_parieto_occipital_volume	lh_S_pericallosal_volume	lh_S_postcentral_volume	lh_S_precentral-inf-part_volume	lh_S_precentral-sup-part_volume	lh_S_suborbital_volume	lh_S_subparietal_volume	lh_S_temporal_inf_volume	lh_S_temporal_sup_volume	lh_S_temporal_transverse_volume	BrainSegVolNotVent	eTIV
sub-0039	2214.0	3258.0	2426.0	3234.0	1405.0	3867.0	2026.0	2381.0	1530.0	641.0	3141.0	3421.0	1055.0	2026.0	8040.0	13269.0	1521.0	2202.0	4866.0	2303.0	5207.0	5867.0	3352.0	6481.0	5145.0	5305.0	4548.0	4778.0	5991.0	5170.0	2490.0	1600.0	1446.0	5829.0	1566.0	1506.0	7748.0	6964.0	243.0	575.0	1374.0	3198.0	5225.0	2924.0	4475.0	1224.0	802.0	2372.0	2153.0	1661.0	828.0	2773.0	1969.0	3738.0	390.0	3784.0	1190.0	2145.0	861.0	1630.0	3593.0	580.0	874.0	2394.0	2883.0	1075.0	3094.0	2286.0	2052.0	756.0	1282.0	1737.0	7816.0	557.0	1067973.0	1442462.66838
sub-0041	2340.0	3678.0	2954.0	2696.0	1888.0	4131.0	2026.0	2459.0	1288.0	807.0	3871.0	2876.0	866.0	2376.0	8077.0	16265.0	1490.0	2209.0	4934.0	2919.0	6065.0	5125.0	4089.0	5633.0	7228.0	5980.0	6523.0	3755.0	6509.0	5753.0	1960.0	1408.0	878.0	5303.0	1537.0	1653.0	7507.0	8191.0	413.0	542.0	1273.0	3432.0	5359.0	3388.0	4479.0	2187.0	699.0	1844.0	2279.0	1701.0	469.0	3693.0	2379.0	4474.0	378.0	5909.0	1358.0	2156.0	1283.0	1697.0	2968.0	412.0	849.0	2707.0	3298.0	1286.0	4609.0	2151.0	2066.0	628.0	1611.0	2812.0	9101.0	619.0	1117012.0	1513870.08802
sub-0042	1571.0	3722.0	3187.0	2978.0	1340.0	4597.0	2650.0	3191.0	2343.0	937.0	3978.0	2700.0	1300.0	2858.0	8923.0	16211.0	1820.0	2343.0	4893.0	2854.0	5223.0	5573.0	3776.0	5045.0	6128.0	6717.0	6209.0	4864.0	6215.0	5736.0	1808.0	1113.0	1281.0	5470.0	2103.0	1846.0	7616.0	7814.0	491.0	346.0	1408.0	3372.0	5256.0	3987.0	4675.0	1624.0	794.0	2285.0	2254.0	1673.0	756.0	2861.0	1849.0	6316.0	861.0	4203.0	1296.0	2233.0	786.0	1539.0	3116.0	660.0	940.0	2346.0	3793.0	1516.0	4086.0	2265.0	2001.0	797.0	1658.0	2714.0	9214.0	553.0	1139605.0	1546304.60749
sub-0043	2588.0	2932.0	3188.0	2957.0	1949.0	3556.0	1967.0	2553.0	1601.0	645.0	3803.0	3089.0	1188.0	1879.0	9976.0	20784.0	1602.0	2291.0	5885.0	2988.0	4513.0	5922.0	3735.0	6719.0	5583.0	5571.0	6795.0	3007.0	6298.0	6768.0	2127.0	752.0	673.0	3751.0	1560.0	771.0	8949.0	6854.0	311.0	423.0	1333.0	3559.0	5006.0	3403.0	3885.0	2019.0	843.0	2157.0	2561.0	1589.0	466.0	2742.0	1874.0	6017.0	280.0	5072.0	1433.0	2254.0	1051.0	2291.0	3250.0	453.0	936.0	3025.0	2814.0	984.0	4299.0	2362.0	2375.0	1031.0	1398.0	2850.0	7496.0	235.0	1093126.0	1488425.96978
sub-0044	2242.0	2972.0	2685.0	3511.0	1762.0	4651.0	2462.0	2779.0	2231.0	722.0	2392.0	3914.0	1588.0	2799.0	10071.0	18457.0	1846.0	2521.0	3536.0	1907.0	4210.0	5146.0	4558.0	6109.0	7056.0	7156.0	5258.0	3703.0	5927.0	5761.0	2055.0	1511.0	912.0	6538.0	2473.0	2571.0	7688.0	8963.0	704.0	626.0	1634.0	2236.0	5752.0	2417.0	3586.0	1660.0	1218.0	2325.0	2991.0	2021.0	579.0	3692.0	1717.0	5016.0	954.0	4056.0	1038.0	1443.0	746.0	1650.0	3448.0	701.0	1170.0	2480.0	2288.0	1421.0	4176.0	3355.0	1701.0	1943.0	1499.0	2893.0	10427.0	654.0	1141797.0	1570025.48511
sub-0053	2207.0	2663.0	2562.0	3192.0	1521.0	4360.0	2125.0	2620.0	1949.0	513.0	2303.0	3192.0	896.0	2102.0	8871.0	15733.0	1667.0	2069.0	4589.0	2584.0	3884.0	3111.0	3979.0	5009.0	4910.0	5722.0	5712.0	3939.0	5967.0	6237.0	2049.0	915.0	1190.0	6041.0	1464.0	2067.0	5886.0	7246.0	311.0	439.0	1506.0	3046.0	5500.0	1811.0	4642.0	1891.0	726.0	2508.0	2370.0	1487.0	521.0	2690.0	2191.0	4742.0	406.0	4236.0	835.0	1534.0	729.0	1259.0	2508.0	672.0	955.0	2341.0	2474.0	1388.0	3157.0	2570.0	2185.0	979.0	1798.0	1883.0	8633.0	417.0	1047785.0	1563927.20032
sub-0057	1897.0	2571.0	2243.0	3347.0	1750.0	3837.0	1850.0	2045.0	1604.0	768.0	2323.0	2857.0	1181.0	1821.0	8518.0	15049.0	1441.0	2144.0	4078.0	2442.0	3992.0	4737.0	4012.0	5841.0	4623.0	5044.0	5822.0	3013.0	5111.0	5252.0	2621.0	1413.0	1091.0	3392.0	929.0	939.0	6307.0	5622.0	293.0	315.0	1054.0	3789.0	5172.0	2806.0	3486.0	1336.0	688.0	2661.0	2304.0	1484.0	420.0	2541.0	1458.0	2926.0	187.0	4080.0	960.0	1406.0	1569.0	1392.0	2656.0	484.0	915.0	2198.0	2630.0	1396.0	3558.0	2259.0	2129.0	1049.0	1417.0	1816.0	6837.0	478.0	916095.0	1545364.52291
sub-0058	1867.0	3560.0	2176.0	2931.0	1455.0	3841.0	2012.0	1803.0	1698.0	651.0	2380.0	2847.0	1107.0	2157.0	8898.0	16246.0	1318.0	2253.0	5423.0	1912.0	5119.0	4998.0	4106.0	5559.0	5859.0	5373.0	5002.0	3393.0	4931.0	4485.0	2233.0	1599.0	765.0	5211.0	2045.0	1831.0	7899.0	7829.0	374.0	446.0	1398.0	3039.0	5097.0	3072.0	4600.0	1209.0	884.0	2057.0	2207.0	1241.0	758.0	2510.0	1458.0	4802.0	327.0	3972.0	1464.0	1754.0	1086.0	1331.0	4291.0	499.0	981.0	2263.0	3107.0	1249.0	3538.0	2114.0	2014.0	814.0	1296.0	2600.0	9986.0	437.0	1030574.0	1393762.8743
sub-0060	1991.0	3632.0	2636.0	2930.0	1700.0	3867.0	2290.0	2419.0	1481.0	547.0	2762.0	2908.0	965.0	1958.0	7030.0	14324.0	1632.0	2219.0	4994.0	3075.0	4351.0	5382.0	4733.0	5960.0	5903.0	7548.0	4616.0	3210.0	5211.0	4704.0	2309.0	1148.0	968.0	5457.0	1821.0	1718.0	7125.0	6954.0	269.0	397.0	1491.0	3220.0	4951.0	2191.0	3780.0	1447.0	785.0	2192.0	2537.0	2042.0	697.0	2299.0	1909.0	3568.0	462.0	3274.0	1198.0	1427.0	1059.0	1414.0	2925.0	461.0	864.0	2607.0	3275.0	1195.0	4000.0	1703.0	2077.0	996.0	1363.0	2372.0	9045.0	482.0	977133.0	1205966.67051
sub-0062	2519.0	5049.0	2650.0	3341.0	1573.0	5560.0	2415.0	3187.0	1909.0	1022.0	4138.0	3009.0	1408.0	3068.0	11758.0	17039.0	2109.0	3229.0	6789.0	3299.0	5606.0	7349.0	3734.0	8308.0	5937.0	6908.0	4664.0	4349.0	6699.0	6872.0	2650.0	1423.0	1129.0	7403.0	1960.0	2751.0	9963.0	9859.0	378.0	388.0	2111.0	4265.0	6907.0	3779.0	5900.0	1313.0	1377.0	2856.0	2892.0	1376.0	943.0	4284.0	2370.0	4537.0	236.0	3681.0	2137.0	2373.0	1395.0	1600.0	3604.0	602.0	1217.0	3023.0	3255.0	1402.0	3032.0	3738.0	1975.0	1580.0	1921.0	2917.0	9477.0	622.0	1289435.0	1776265.02628
