lh.BA_exvivo.area	lh_BA1_exvivo_area	lh_BA2_exvivo_area	lh_BA3a_exvivo_area	lh_BA3b_exvivo_area	lh_BA4a_exvivo_area	lh_BA4p_exvivo_area	lh_BA6_exvivo_area	lh_BA44_exvivo_area	lh_BA45_exvivo_area	lh_V1_exvivo_area	lh_V2_exvivo_area	lh_MT_exvivo_area	lh_perirhinal_exvivo_area	lh_entorhinal_exvivo_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3000	639.0	2644.0	828.0	1597.0	1110.0	989.0	6051.0	1588.0	1768.0	2603.0	6572.0	1477.0	389.0	390.0	92227.7	1108330.0	1569766.840465
sub-3004	749.0	3243.0	862.0	1707.0	1151.0	1046.0	6580.0	1381.0	1662.0	2229.0	4742.0	1581.0	396.0	603.0	92364.5	1175445.0	1617853.482109
sub-3008	536.0	2476.0	737.0	1310.0	749.0	689.0	4021.0	1619.0	2172.0	1990.0	4454.0	1500.0	313.0	363.0	78807.2	873285.0	1282019.510828
sub-3011	632.0	2669.0	842.0	1773.0	1103.0	963.0	5863.0	1776.0	2826.0	2107.0	4758.0	1364.0	409.0	511.0	96120.4	1256798.0	1722963.923116
sub-3013	601.0	2328.0	897.0	1629.0	1197.0	1039.0	6781.0	1321.0	1959.0	1587.0	4657.0	1599.0	391.0	453.0	95421.3	1185073.0	1637599.895668
sub-3016	721.0	3346.0	781.0	1746.0	1043.0	929.0	5957.0	1740.0	2138.0	2619.0	5447.0	1616.0	415.0	584.0	98738.6	1142925.0	1587662.051107
sub-3029	626.0	2708.0	720.0	1576.0	1105.0	913.0	7653.0	1584.0	1580.0	2735.0	5536.0	1086.0	450.0	470.0	89838.6	1131226.0	1591404.683586
sub-3104	608.0	2119.0	811.0	1462.0	914.0	1005.0	5514.0	1516.0	2083.0	2175.0	5712.0	1344.0	404.0	447.0	86768.8	1017494.0	1530767.14906
sub-3106	661.0	2517.0	804.0	1604.0	1152.0	971.0	6578.0	1577.0	1914.0	2065.0	4913.0	1378.0	378.0	550.0	84521.2	967156.0	1540262.400118
sub-3112	417.0	1292.0	494.0	1111.0	700.0	597.0	4970.0	1449.0	2020.0	2259.0	4664.0	942.0	385.0	464.0	72873.1	854197.0	1233595.151979
sub-3114	570.0	2125.0	808.0	1430.0	1132.0	992.0	6123.0	1237.0	1488.0	2601.0	5151.0	1268.0	414.0	514.0	80085.4	905428.0	1287590.079589
sub-3115	890.0	3396.0	828.0	1932.0	1081.0	982.0	7118.0	1829.0	2136.0	2222.0	5106.0	1407.0	501.0	653.0	101462.0	1169364.0	1636462.312859
sub-3151	663.0	2285.0	718.0	1581.0	935.0	823.0	6166.0	1597.0	1973.0	2112.0	5350.0	1103.0	374.0	400.0	88735.6	1080730.0	1520893.531615
sub-3156	595.0	2118.0	745.0	1522.0	1095.0	908.0	5967.0	1435.0	1717.0	1940.0	4813.0	1422.0	405.0	441.0	88295.1	1032323.0	1558956.244154
sub-3157	626.0	2368.0	684.0	1413.0	916.0	746.0	5193.0	1497.0	1707.0	2080.0	4257.0	1168.0	357.0	434.0	75283.5	878085.0	1183410.395238
sub-3160	804.0	2972.0	885.0	1759.0	1130.0	994.0	6739.0	1465.0	2158.0	2274.0	5583.0	1350.0	538.0	571.0	94984.6	1133731.0	1809287.539735
sub-3161	616.0	2465.0	723.0	1480.0	1013.0	828.0	6411.0	1427.0	2440.0	2629.0	6033.0	1284.0	406.0	457.0	97556.0	1193640.0	1692612.828334
sub-3165	596.0	2279.0	755.0	1429.0	980.0	852.0	5763.0	1323.0	2186.0	2423.0	5113.0	1248.0	392.0	558.0	82954.5	1082889.0	1450955.030984
sub-3169	630.0	2320.0	785.0	1453.0	1085.0	979.0	7085.0	1786.0	2303.0	3233.0	6324.0	1254.0	397.0	449.0	98412.4	1155226.0	1639347.801568
sub-3171	573.0	2428.0	729.0	1499.0	927.0	868.0	6156.0	1667.0	1675.0	2145.0	5297.0	1264.0	434.0	530.0	87464.0	1118880.0	1574591.31877
sub-3172	625.0	2583.0	713.0	1538.0	1027.0	856.0	6532.0	1567.0	2505.0	2401.0	5573.0	1357.0	406.0	487.0	92728.8	1103831.0	1645046.07471
sub-3188	680.0	2680.0	641.0	1466.0	1004.0	813.0	5704.0	1173.0	1794.0	2244.0	4913.0	1072.0	323.0	397.0	81656.5	967339.0	1411083.122871
sub-3191	561.0	2472.0	706.0	1310.0	871.0	764.0	5830.0	1566.0	1801.0	2688.0	5416.0	1614.0	291.0	349.0	82213.5	970695.0	1316481.977243
sub-3257	793.0	3418.0	845.0	1667.0	1193.0	935.0	7906.0	1619.0	2283.0	1727.0	4169.0	1017.0	304.0	392.0	95061.2	1400587.0	1796076.608219
sub-3260	726.0	3074.0	721.0	1585.0	989.0	845.0	6966.0	1670.0	3145.0	2098.0	5814.0	1809.0	412.0	513.0	101454.0	1111691.0	1510075.588013
sub-3264	522.0	2118.0	627.0	1110.0	918.0	808.0	5970.0	1139.0	1770.0	1892.0	4133.0	1399.0	538.0	430.0	74442.8	1219336.0	1566172.153937
sub-3270	664.0	2711.0	704.0	1507.0	969.0	846.0	6400.0	1466.0	2167.0	1877.0	4634.0	1537.0	405.0	475.0	93035.4	1121967.0	1546965.060867
sub-3271	789.0	2797.0	704.0	1637.0	1027.0	858.0	6171.0	1675.0	2424.0	1809.0	4666.0	1449.0	467.0	622.0	97012.8	1253052.0	1718214.935342
sub-3274	724.0	2939.0	827.0	1555.0	1211.0	882.0	6179.0	1546.0	2402.0	2180.0	5316.0	1400.0	487.0	623.0	98758.3	1519589.0	1996588.304558
