rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3000	825.0	2307.0	2182.0	444.0	3006.0	4528.0	4310.0	867.0	5297.0	3314.0	3389.0	1813.0	4112.0	712.0	1463.0	1624.0	761.0	1488.0	1614.0	4431.0	1179.0	4913.0	3833.0	875.0	4195.0	9301.0	5117.0	4859.0	3856.0	317.0	2060.0	88992.1	1108330.0	1569766.840465
sub-3004	607.0	2167.0	1619.0	512.0	2784.0	4953.0	4369.0	877.0	4853.0	3650.0	2570.0	1652.0	5027.0	678.0	1677.0	1774.0	801.0	1476.0	1150.0	4700.0	1194.0	4641.0	4094.0	938.0	3647.0	9086.0	5637.0	5112.0	4714.0	333.0	1981.0	89274.3	1175445.0	1617853.482109
sub-3008	518.0	2031.0	1618.0	390.0	2745.0	4084.0	3622.0	474.0	4671.0	2880.0	2317.0	1562.0	4517.0	595.0	1265.0	1775.0	705.0	1690.0	1206.0	3358.0	866.0	4853.0	2739.0	611.0	3576.0	7882.0	2607.0	4674.0	2700.0	325.0	1861.0	74716.5	873285.0	1282019.510828
sub-3011	1017.0	2890.0	1777.0	301.0	3346.0	6189.0	4104.0	756.0	4622.0	3520.0	2805.0	1830.0	5235.0	749.0	1734.0	1900.0	651.0	1532.0	1557.0	4569.0	1313.0	4698.0	3873.0	784.0	4379.0	9864.0	3645.0	5240.0	3609.0	313.0	2195.0	90998.7	1256798.0	1722963.923116
sub-3013	605.0	2310.0	2015.0	400.0	2714.0	5429.0	4178.0	872.0	5056.0	3867.0	2674.0	1729.0	4408.0	711.0	2005.0	2016.0	689.0	1296.0	1412.0	5008.0	1328.0	5211.0	4471.0	864.0	5507.0	9937.0	4636.0	5239.0	3835.0	415.0	2103.0	92936.4	1185073.0	1637599.895668
sub-3016	966.0	2053.0	1990.0	530.0	3024.0	5420.0	4083.0	700.0	5864.0	3408.0	2870.0	1808.0	4837.0	579.0	1862.0	2042.0	816.0	2305.0	1470.0	3556.0	1064.0	3928.0	3453.0	909.0	6628.0	10346.0	3454.0	4759.0	3021.0	379.0	1923.0	90046.0	1142925.0	1587662.051107
sub-3029	651.0	2547.0	1960.0	396.0	2799.0	4695.0	3596.0	938.0	5209.0	2718.0	3335.0	1598.0	4325.0	706.0	1514.0	1537.0	720.0	1333.0	1720.0	4486.0	1129.0	4611.0	3874.0	677.0	4007.0	9296.0	4879.0	4255.0	3988.0	290.0	2234.0	86022.1	1131226.0	1591404.683586
sub-3104	629.0	2098.0	1905.0	330.0	2748.0	5317.0	3447.0	791.0	5512.0	2424.0	2897.0	1221.0	3872.0	650.0	1638.0	1461.0	585.0	1172.0	1495.0	3882.0	982.0	4420.0	4256.0	680.0	2858.0	7790.0	4621.0	4599.0	3176.0	332.0	2157.0	79945.6	1017494.0	1530767.14906
sub-3106	651.0	2014.0	1867.0	300.0	2320.0	4669.0	2267.0	734.0	4755.0	2248.0	2846.0	1170.0	2605.0	549.0	1763.0	1336.0	526.0	1133.0	1396.0	4397.0	877.0	4945.0	3839.0	479.0	3516.0	7849.0	4248.0	3692.0	3149.0	286.0	1659.0	74082.7	967156.0	1540262.400118
sub-3112	569.0	1455.0	1821.0	309.0	2250.0	4687.0	2929.0	730.0	4013.0	1698.0	2393.0	1220.0	3436.0	552.0	1329.0	1197.0	447.0	1143.0	1411.0	3988.0	1081.0	4309.0	3443.0	441.0	2625.0	5925.0	3653.0	3924.0	3158.0	330.0	1864.0	68330.0	854197.0	1233595.151979
