Measure:volume	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	MaskVol	EstimatedTotalIntraCranialVol
sub-3000	3034.7	3215.8	6026.1	3422.3	1058.4	6866.5	9654.2	6087.6	3218.3	12132.7	7464.7	6490.1	3893.6	6264.0	1436.3	3574.9	3526.8	1035.0	2669.3	4149.6	7528.1	4029.7	14080.2	8279.9	2079.9	12229.6	16802.6	12267.4	8269.8	7860.8	279.3	410.6	690.6	10296.5	3006.9	2919.1	6399.4	3028.1	1052.3	6892.1	9434.9	7198.3	3240.6	11157.4	8271.7	7324.4	4610.3	5867.1	1662.1	3882.9	3113.2	1032.2	3224.0	4013.4	7402.3	3705.0	14469.1	8972.4	1906.8	12458.8	17440.8	13699.9	7006.1	8361.1	347.9	579.1	574.4	9124.8	29385.3	31535.1	226934.195749	231311.688846	458245.884595	1451954.0	1569766.840465
sub-3004	3955.4	2384.7	6411.2	2357.2	1098.0	7472.3	8416.7	7661.4	3715.4	11651.2	7948.7	5340.1	3729.8	7270.4	2015.3	4281.3	3396.8	1114.1	2617.3	3308.4	9000.9	4413.4	14459.6	10175.4	2722.3	11984.5	21000.2	13890.7	8031.4	10155.1	242.3	692.6	884.9	10180.6	3821.5	2923.2	6119.0	2493.5	1168.1	7534.0	12059.2	8042.7	3466.0	10704.4	8821.0	5329.2	4247.9	7446.1	1717.2	5047.8	3801.1	1221.0	3667.1	2680.4	8033.2	5152.9	14418.5	10678.5	1848.2	12744.7	18299.6	15992.4	7843.3	11530.7	442.7	768.5	593.9	9790.5	41155.5	40334.2	255716.949423	259793.314852	515510.264275	1498426.0	1617853.482109
sub-3008	2836.1	1724.6	4025.0	2460.0	736.3	5435.6	8813.9	5606.8	3272.9	8833.0	6101.4	4453.1	3666.4	4316.2	1137.2	2738.6	3450.5	749.6	2331.7	2203.1	5822.5	3327.9	9238.9	7796.4	1695.3	9202.4	10524.3	9447.5	7332.4	8318.1	174.6	419.3	829.1	8008.1	2860.9	1817.7	5048.2	2005.7	772.0	5503.2	8381.0	5853.5	2131.5	9162.9	6239.9	4257.6	3498.1	6116.3	1153.6	1991.7	3110.5	1014.1	2808.8	2382.5	5477.6	2864.1	11513.8	6519.3	1673.2	9898.7	13281.8	7320.0	5741.2	5473.8	266.2	342.1	745.9	8074.7	15140.3	15405.0	168130.637076	167269.87429	335400.511366	1224335.0	1282019.510828
sub-3011	4237.1	3189.7	6858.5	2096.6	1136.3	7046.3	11321.8	8474.1	4072.5	8410.4	8033.5	4854.8	5185.5	6624.7	1812.8	4405.8	4802.1	1024.6	4111.4	3010.4	8033.9	4908.7	14522.3	9502.2	3068.6	15392.9	19652.8	11527.4	8321.4	9127.5	199.3	776.6	819.6	10834.9	3845.6	3202.6	8037.5	2287.6	745.0	7635.8	13021.9	7140.9	3239.4	10088.6	8232.5	5621.6	4720.5	7411.0	1961.5	4885.7	3605.8	1148.8	3489.6	3585.8	8081.9	5382.5	14024.6	9943.3	2369.7	14535.4	18768.2	10437.9	7956.4	9442.8	395.4	707.6	566.4	11238.3	33937.4	34853.6	252196.662775	251391.347372	503588.010146	1575447.0	1722963.923116
sub-3013	2858.7	2094.2	6954.6	2369.5	872.3	8297.6	11804.9	6994.0	4750.7	10538.2	7889.3	5300.2	4036.5	5368.4	1602.7	4727.9	3055.8	1276.4	3076.2	1726.0	7743.8	4054.4	16153.0	11876.5	2617.2	18056.2	22072.8	15159.2	8558.7	11735.2	226.6	630.1	974.3	10295.1	2851.7	2152.6	7201.0	2744.7	901.4	7161.4	12441.1	7788.2	3311.5	12538.6	8458.1	5130.1	4164.8	7183.3	1649.1	5717.2	4564.5	1366.9	3084.3	3221.3	8908.1	4896.1	15512.5	12429.8	1836.0	17194.0	20344.4	13818.2	7580.2	10059.6	512.7	757.8	1058.2	11118.9	33355.8	34507.4	253223.8395	258103.055737	511326.895237	1581430.0	1637599.895668
sub-3016	3823.5	2766.6	6597.8	2257.1	1242.9	7556.5	9504.3	8275.2	3932.5	10709.7	6714.2	4532.8	4478.4	6137.6	1522.7	3619.3	3453.5	1037.3	2810.2	3288.9	8432.8	3853.8	13019.2	9702.7	2307.4	12837.3	17769.0	12873.2	8540.0	10681.9	222.1	775.8	744.2	9734.5	2638.9	3049.9	5009.0	2557.7	1263.8	6534.2	11110.5	7275.1	2715.2	11349.9	7535.7	5522.6	4292.9	6479.1	1361.8	3516.5	2964.6	1446.6	4617.2	3382.0	5731.2	4019.1	8418.6	9030.0	1943.7	19913.3	19411.3	8852.0	7051.4	6294.7	291.8	850.5	604.5	9602.6	28387.9	25852.5	231370.219853	220261.906053	451632.125906	1490414.0	1587662.051107
sub-3029	3288.2	2323.7	7826.7	2650.3	778.5	6527.9	8233.3	7158.1	4029.6	9197.1	6081.1	5679.4	4674.2	4761.0	1673.9	3862.3	3271.7	1006.0	2233.9	4052.8	6949.2	3642.5	15057.7	9326.0	2275.5	12184.7	20875.3	14228.0	8174.3	10162.5	384.4	1029.6	611.1	9211.9	2960.0	2566.4	6275.3	2863.7	704.3	7356.2	9447.3	7345.0	3782.4	10651.8	6931.4	6650.8	3980.4	6458.3	1673.3	4455.8	3220.2	1457.0	2774.2	4109.8	6979.5	4216.7	13830.6	9823.7	1873.6	13954.0	18657.3	13269.9	6927.2	9711.4	500.2	843.8	454.7	10761.2	39500.4	42075.3	241453.154062	247724.869692	489178.023753	1466530.0	1591404.683586
sub-3104	1953.3	2127.9	4849.1	2191.0	698.8	6214.0	9396.2	4856.3	3907.6	8210.8	5894.6	4185.6	3178.0	4435.6	1258.9	3340.1	3321.7	809.9	2692.9	3092.2	5792.5	4138.6	12128.0	7779.0	2741.8	10076.0	13408.1	11393.1	6951.5	7697.6	220.0	502.9	724.5	10190.7	2645.3	2468.6	5650.1	1911.0	780.2	6010.5	9976.0	4608.5	3193.9	9305.5	4987.7	4060.4	2456.8	5624.7	1156.9	4380.9	2498.9	659.6	2745.0	2497.9	5457.4	3474.0	11590.9	8965.4	2015.5	7863.0	14284.7	11513.1	5954.4	7136.9	183.5	626.0	674.6	10151.2	21224.2	21634.5	190038.244992	185851.187998	375889.432991	1412595.0	1530767.14906
sub-3106	1905.1	2372.7	6248.3	2416.6	982.9	6026.2	9118.0	5333.6	4055.4	9708.9	5765.2	4255.9	2941.5	4748.9	1544.3	3945.6	3966.8	803.2	2959.7	2989.5	7396.6	3951.7	13337.2	9248.2	2443.1	11178.4	17812.1	13011.2	7292.1	7625.9	259.9	588.1	887.4	9161.6	2025.2	2432.1	5466.7	2455.6	393.7	5292.4	10376.1	3938.8	3168.9	9447.6	4945.4	4962.9	3642.5	3869.2	1084.0	4835.4	3475.5	1148.4	2272.9	3052.8	7051.4	3098.3	13870.4	9691.8	1208.4	11526.1	15188.6	11481.6	5601.5	9208.5	255.7	186.1	529.5	7107.0	32081.0	31020.7	215429.463223	201481.358713	416910.821936	1319936.0	1540262.400118
sub-3112	2101.8	1990.8	4788.6	2464.4	849.5	4817.1	6120.0	4595.6	3135.1	6646.5	4603.3	4077.8	3125.9	3604.6	1320.4	2088.3	2883.5	765.1	2626.9	2633.0	4207.9	3345.5	7163.4	8183.9	1812.5	13891.3	14018.9	6865.1	6308.4	5998.3	229.6	710.5	621.6	9332.5	2257.2	1905.3	3428.0	2421.7	525.3	5276.8	9458.6	4851.0	3000.0	7161.1	4733.1	4141.4	3016.5	4382.3	1139.1	4228.8	2713.8	629.4	2592.6	2712.1	5785.8	3562.5	10824.1	7552.2	1161.9	8240.5	10754.8	8867.4	5413.2	8395.2	230.7	515.6	399.6	8410.8	28901.5	29515.0	176440.988302	179255.525305	355696.513607	1120312.0	1233595.151979
sub-3114	2842.9	2111.0	5258.6	2365.4	766.0	5210.3	7978.6	4535.9	3640.1	7516.2	5130.6	5144.5	2540.1	4071.3	1312.7	3287.6	2216.5	738.1	1838.2	3200.4	5244.4	3621.3	11107.9	6992.3	1807.1	8484.9	14096.0	8551.3	6162.3	7479.6	134.7	470.2	486.5	8450.6	2256.9	2402.1	4041.4	2150.4	577.9	5416.4	8391.5	4238.8	3391.9	8712.9	5252.6	5374.4	2526.2	5254.9	1354.6	4261.2	2137.3	637.8	1916.0	2943.9	5039.4	3883.1	11089.2	7164.8	1403.8	7332.0	12071.2	9468.6	5002.1	6681.4	200.5	469.9	559.4	7375.9	25571.9	24544.6	179841.455139	173591.21594	353432.671079	1154812.0	1287590.079589
sub-3115	2865.1	2896.9	7019.7	1711.7	978.5	7449.2	11372.9	7255.2	4457.0	8849.5	6769.5	4520.5	3691.7	4943.4	1366.8	3662.5	3926.1	962.7	3180.0	2603.2	8897.0	4520.9	13627.8	10320.2	3458.9	11175.4	21403.7	15446.8	7772.1	12337.6	146.1	667.1	890.2	10878.0	3433.0	2517.3	6796.2	2255.6	877.1	7451.7	10822.4	7576.8	3837.7	9574.0	6482.5	6017.9	3697.3	7215.6	1323.7	4110.0	3171.9	1164.3	3909.8	3025.6	9976.3	4797.1	13931.5	10405.0	2151.3	12449.0	20178.5	13295.5	6585.6	11752.7	299.6	574.9	441.2	11117.4	30985.1	33035.7	238831.795296	243570.953584	482402.748881	1534624.0	1636462.312859
sub-3151	3726.5	2687.5	6251.7	2157.6	904.3	5761.8	9777.1	7118.1	3860.1	9145.6	6336.4	5654.2	3801.3	5449.7	1390.7	3425.5	4107.7	984.0	2748.4	3149.1	6831.4	4616.8	11982.2	9146.7	2503.8	14090.4	19702.8	12333.3	7939.7	10205.5	336.7	530.8	742.1	8958.5	3142.0	2666.9	6094.7	2378.2	620.8	6377.0	11025.8	7235.1	3726.8	10613.1	7158.1	5567.8	3327.4	6586.1	1570.9	4279.7	3729.7	1137.1	3242.8	2908.0	6645.1	4387.5	11481.8	8867.6	1869.2	14757.6	17440.4	12304.8	5972.0	8213.0	281.3	642.9	709.0	8508.1	35016.6	35815.2	232359.257313	230760.433263	463119.690576	1397016.0	1520893.531615
sub-3156	3275.2	2407.3	7141.0	1969.4	875.8	5175.9	9208.0	6315.2	3860.5	9120.3	6111.6	4339.3	2864.4	5831.3	1332.0	3649.5	3351.2	894.2	2813.5	1952.6	6820.5	4601.8	12937.2	7545.4	2650.7	12012.4	17756.4	10017.3	8118.3	7473.2	267.4	637.4	812.8	10481.3	2773.0	2232.9	6309.8	1976.0	607.4	5301.1	10629.1	5565.4	3382.7	8526.3	6234.4	5354.6	3180.2	6177.2	1311.7	4617.1	3047.8	1006.7	3388.7	2288.6	7940.9	3660.5	13038.2	8594.3	2182.8	12901.8	16312.8	9711.4	7602.8	9054.0	274.5	639.5	688.0	9372.8	26007.7	26985.9	210264.71075	211783.534534	422048.245284	1421322.0	1558956.244154
sub-3157	2368.0	2656.2	4963.6	1716.8	601.3	5224.9	7120.5	4538.4	2648.0	6934.0	5106.5	3720.8	2817.2	4196.7	1140.6	3430.8	3199.9	700.4	2613.7	2469.7	6106.6	3321.1	10169.5	6815.1	2023.5	7653.8	13089.2	10075.9	5973.5	6797.8	169.2	523.4	602.6	7662.4	2655.8	2279.4	4141.0	2005.3	685.2	4783.7	9901.7	3713.3	2888.5	7141.2	5281.8	4265.1	2577.1	4386.8	1121.8	3744.9	2568.2	879.4	2713.7	3274.0	5748.9	3379.3	10132.3	6791.0	1625.6	8477.8	12355.2	9364.8	4984.7	6869.8	183.4	495.2	509.8	7416.2	17627.4	17737.2	165415.431159	165294.049161	330709.48032	1169249.0	1183410.395238
sub-3160	3650.3	2464.2	6958.7	2658.5	933.7	7164.3	9135.4	7427.7	4764.0	10795.6	6874.4	6419.9	4345.4	5693.8	1573.2	3988.3	3462.2	1109.9	3181.7	3055.7	8844.1	4982.1	14523.4	9532.4	3652.2	13502.0	20537.5	12999.1	9562.0	10526.6	220.2	857.3	1187.4	11301.9	3434.8	3168.9	5777.3	3389.8	874.6	6732.9	14508.9	7050.5	3763.8	11415.4	7708.6	6505.2	4222.5	6086.6	1762.6	5453.4	2878.6	1350.0	3173.8	2883.5	7542.1	4106.4	15739.4	11048.7	2376.2	14081.1	18418.2	12378.2	7188.8	9072.3	292.5	765.6	660.2	10391.8	29316.1	33307.5	242395.283782	247129.333012	489524.616794	1601969.0	1809287.539735
sub-3161	2891.6	2903.1	6220.9	2776.8	735.7	6937.0	8963.5	7421.7	4356.0	10779.0	7164.4	6385.9	3528.4	5997.5	1420.8	3819.0	3826.0	1436.4	3441.5	3667.1	6592.5	4511.9	13148.1	10463.4	3552.8	13960.0	19155.6	14353.5	10245.7	10770.0	230.2	607.1	721.2	11071.8	3045.8	2561.4	6607.3	2870.7	682.8	7308.1	11115.7	5751.4	3538.3	11104.3	6903.8	6495.3	3431.8	6979.0	1759.0	5070.1	2978.9	1470.0	3488.0	3783.2	6873.2	4399.9	14958.3	11752.4	2242.0	11878.8	20059.6	14270.1	7965.9	11063.6	296.3	861.1	594.4	11328.6	32115.4	30425.8	245575.617055	244415.230971	489990.848025	1548998.0	1692612.828334
sub-3165	3576.5	2491.3	5737.3	2213.1	1296.7	6296.9	8477.7	6708.2	3366.5	9750.1	7055.8	6035.6	3218.6	5761.4	1566.6	4191.1	4146.2	1289.0	3532.2	3758.3	7089.0	4576.1	13580.5	8052.1	3169.6	13184.9	16801.8	12130.9	8162.9	7558.4	215.7	587.0	910.5	9138.2	3027.1	2779.1	6338.6	2320.9	1203.2	6134.2	11091.6	6876.8	3714.7	9311.1	6739.5	6167.2	3944.2	6620.9	1489.7	4452.4	3480.8	1267.6	4013.9	3906.7	8397.1	4097.5	14182.0	8994.3	1580.2	11601.9	17236.9	11297.9	6246.3	7698.4	290.9	634.2	573.8	8660.7	34616.1	33223.1	229085.237268	228216.058634	457301.295902	1392646.0	1450955.030984
