rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3000	918.0	682.0	2203.0	1711.0	529.0	3240.0	4507.0	4060.0	876.0	5208.0	3152.0	3459.0	2520.0	3483.0	652.0	1405.0	1450.0	853.0	1509.0	1651.0	3988.0	1097.0	5102.0	3675.0	560.0	6059.0	7085.0	6235.0	3767.0	4052.0	322.0	388.0	329.0	2248.0	88971.0	1108330.0	1569766.840465
sub-3004	1215.0	555.0	2086.0	1345.0	547.0	3132.0	5056.0	4012.0	854.0	4830.0	3394.0	2609.0	2069.0	4073.0	618.0	1610.0	1560.0	906.0	1523.0	1117.0	4157.0	1183.0	4857.0	4032.0	663.0	5215.0	7176.0	6573.0	3965.0	4858.0	329.0	471.0	328.0	2338.0	89248.3	1175445.0	1617853.482109
sub-3008	931.0	482.0	1886.0	1306.0	421.0	2952.0	4102.0	3402.0	479.0	4674.0	2778.0	2361.0	2106.0	3793.0	557.0	1224.0	1568.0	832.0	1689.0	1206.0	3078.0	796.0	4969.0	2683.0	405.0	5113.0	5994.0	3360.0	3744.0	2839.0	292.0	346.0	326.0	1992.0	74683.8	873285.0	1282019.510828
sub-3011	1162.0	966.0	2747.0	1442.0	338.0	3612.0	6282.0	3806.0	765.0	4715.0	2984.0	2861.0	2276.0	4284.0	720.0	1692.0	1677.0	769.0	1591.0	1565.0	4120.0	1235.0	4962.0	3707.0	582.0	6400.0	7437.0	4555.0	3961.0	3749.0	405.0	543.0	304.0	2787.0	90989.0	1256798.0	1722963.923116
sub-3013	911.0	456.0	2164.0	1602.0	444.0	2941.0	5304.0	3958.0	884.0	5104.0	3185.0	2672.0	2204.0	3687.0	683.0	1896.0	1726.0	939.0	1331.0	1443.0	4565.0	1228.0	5367.0	4266.0	604.0	7528.0	7816.0	5715.0	4113.0	4159.0	384.0	497.0	420.0	2615.0	92793.8	1185073.0	1637599.895668
sub-3016	943.0	895.0	1968.0	1653.0	590.0	3289.0	5544.0	3782.0	703.0	5803.0	3034.0	2921.0	2413.0	4051.0	539.0	1760.0	1626.0	925.0	2433.0	1476.0	3306.0	1009.0	4039.0	3393.0	696.0	8875.0	7781.0	4269.0	3578.0	3164.0	310.0	505.0	388.0	2400.0	90007.2	1142925.0	1587662.051107
sub-3029	934.0	595.0	2416.0	1667.0	424.0	3046.0	4582.0	3381.0	926.0	5180.0	2288.0	3428.0	1919.0	3530.0	674.0	1421.0	1321.0	841.0	1367.0	1718.0	3999.0	1075.0	4944.0	3757.0	498.0	5804.0	7133.0	5753.0	3284.0	4297.0	344.0	420.0	296.0	2744.0	86001.9	1131226.0	1591404.683586
sub-3104	805.0	573.0	2077.0	1540.0	367.0	3119.0	5382.0	3101.0	791.0	5386.0	2185.0	2945.0	1526.0	3218.0	613.0	1543.0	1228.0	590.0	1276.0	1534.0	3490.0	965.0	4597.0	4086.0	458.0	4000.0	6372.0	5703.0	3529.0	3300.0	280.0	416.0	353.0	2595.0	79931.9	1017494.0	1530767.14906
sub-3106	620.0	613.0	1960.0	1568.0	329.0	2528.0	4633.0	2074.0	721.0	4645.0	1832.0	2912.0	1459.0	2193.0	508.0	1647.0	1217.0	679.0	1117.0	1419.0	3968.0	791.0	5072.0	3745.0	376.0	4990.0	6180.0	5142.0	2912.0	3342.0	280.0	185.0	288.0	1971.0	73908.6	967156.0	1540262.400118
sub-3112	754.0	529.0	1413.0	1549.0	353.0	2437.0	4770.0	2703.0	760.0	4017.0	1743.0	2439.0	1457.0	2881.0	508.0	1295.0	975.0	448.0	1179.0	1409.0	3640.0	1026.0	4510.0	3325.0	299.0	3563.0	4638.0	4444.0	2887.0	3273.0	252.0	434.0	347.0	2075.0	68322.2	854197.0	1233595.151979
sub-3114	753.0	596.0	1514.0	1443.0	321.0	2757.0	4173.0	2778.0	1012.0	4709.0	2120.0	3136.0	1393.0	3187.0	579.0	1677.0	1056.0	557.0	1030.0	1672.0	3553.0	1263.0	4727.0	3430.0	438.0	3239.0	5715.0	4426.0	3295.0	3027.0	243.0	370.0	297.0	1903.0	72387.3	905428.0	1287590.079589
sub-3115	1240.0	727.0	2396.0	1537.0	507.0	3631.0	5173.0	3941.0	1063.0	5222.0	2746.0	3646.0	2221.0	4474.0	648.0	1669.0	1481.0	879.0	1619.0	1509.0	5668.0	1483.0	5398.0	4617.0	741.0	6541.0	8068.0	5851.0	3694.0	5209.0	310.0	463.0	318.0	2836.0	97521.8	1169364.0	1636462.312859
sub-3151	1039.0	648.0	2080.0	1452.0	363.0	2918.0	5365.0	3731.0	990.0	5276.0	2649.0	2843.0	1739.0	3659.0	619.0	1305.0	1610.0	767.0	1531.0	1320.0	3699.0	1193.0	4198.0	3730.0	615.0	6152.0	7057.0	5435.0	3307.0	3607.0	305.0	417.0	295.0	2004.0	83913.0	1080730.0	1520893.531615
sub-3156	942.0	600.0	2140.0	1323.0	322.0	2705.0	5250.0	3204.0	973.0	4336.0	2512.0	3006.0	1932.0	3338.0	590.0	1531.0	1331.0	700.0	1483.0	1245.0	4090.0	1050.0	4634.0	3562.0	636.0	5746.0	7193.0	4768.0	4307.0	3939.0	291.0	427.0	407.0	2358.0	82852.2	1032323.0	1558956.244154
sub-3157	866.0	788.0	1471.0	1398.0	331.0	2554.0	4575.0	2214.0	808.0	4267.0	2270.0	2636.0	1718.0	2604.0	510.0	1301.0	1319.0	672.0	1325.0	1613.0	3461.0	981.0	4199.0	3059.0	608.0	4474.0	5186.0	4959.0	3156.0	3332.0	224.0	356.0	266.0	1990.0	71485.7	878085.0	1183410.395238
sub-3160	1013.0	895.0	2303.0	1823.0	484.0	3265.0	6205.0	3355.0	863.0	5460.0	2629.0	3468.0	2387.0	3385.0	742.0	1759.0	1120.0	890.0	1409.0	1379.0	4067.0	961.0	5477.0	4084.0	801.0	5850.0	7706.0	5441.0	3915.0	3378.0	300.0	521.0	372.0	2523.0	90215.3	1133731.0	1809287.539735
sub-3161	992.0	628.0	2206.0	1852.0	349.0	3273.0	5611.0	3244.0	1126.0	5426.0	2795.0	3646.0	2074.0	3919.0	773.0	1756.0	1257.0	955.0	1712.0	1772.0	3767.0	1316.0	5279.0	4400.0	653.0	5570.0	7970.0	6535.0	4246.0	4511.0	283.0	535.0	368.0	2801.0	93554.2	1193640.0	1692612.828334
sub-3165	892.0	695.0	2075.0	1434.0	488.0	2763.0	4896.0	3284.0	876.0	4424.0	2299.0	3117.0	1873.0	3379.0	600.0	1321.0	1468.0	743.0	1524.0	1599.0	3978.0	1033.0	4412.0	3480.0	534.0	4711.0	6259.0	4391.0	3266.0	2965.0	274.0	447.0	274.0	2025.0	77797.7	1082889.0	1450955.030984
sub-3169	915.0	766.0	2903.0	2009.0	419.0	3422.0	6127.0	2745.0	1215.0	6142.0	2761.0	3832.0	2098.0	3540.0	618.0	1924.0	1514.0	930.0	1710.0	2581.0	3994.0	1240.0	5557.0	4283.0	471.0	5534.0	8290.0	4926.0	3664.0	3528.0	308.0	499.0	312.0	2330.0	93088.1	1155226.0	1639347.801568
sub-3171	785.0	762.0	1875.0	1454.0	561.0	3059.0	5003.0	3698.0	938.0	5323.0	2618.0	2803.0	1781.0	3633.0	556.0	1357.0	1289.0	934.0	1549.0	1292.0	3982.0	1083.0	4949.0	3579.0	656.0	5700.0	6238.0	4630.0	3266.0	3671.0	286.0	400.0	323.0	1974.0	81885.4	1118880.0	1574591.31877
sub-3172	922.0	1000.0	2050.0	1635.0	350.0	3272.0	5858.0	3063.0	943.0	5155.0	2834.0	3195.0	2052.0	3419.0	562.0	1538.0	1455.0	1068.0	1713.0	1667.0	3812.0	1238.0	5034.0	3664.0	897.0	6339.0	6932.0	5404.0	3758.0	3016.0	264.0	410.0	321.0	2444.0	87279.2	1103831.0	1645046.07471
sub-3188	847.0	724.0	1543.0	1462.0	384.0	2847.0	4838.0	2619.0	822.0	4199.0	2449.0	3040.0	1642.0	3158.0	646.0	1548.0	1076.0	658.0	1131.0	1336.0	3911.0	1077.0	4395.0	3794.0	568.0	4188.0	5915.0	4976.0	3542.0	3904.0	262.0	461.0	316.0	2181.0	76455.6	967339.0	1411083.122871
sub-3191	828.0	787.0	2012.0	1482.0	260.0	2729.0	4623.0	2445.0	940.0	4916.0	2556.0	3293.0	1753.0	3066.0	615.0	1261.0	1197.0	819.0	1350.0	1660.0	3626.0	1037.0	4547.0	3364.0	666.0	4800.0	5675.0	4783.0	3053.0	3114.0	323.0	359.0	325.0	2588.0	76817.5	970695.0	1316481.977243
sub-3257	491.0	280.0	1601.0	818.0	750.0	3541.0	4067.0	4526.0	786.0	4094.0	2853.0	1775.0	2201.0	3222.0	896.0	1679.0	767.0	1055.0	1051.0	728.0	2903.0	1168.0	3315.0	3890.0	259.0	7157.0	7604.0	6015.0	3239.0	2028.0	378.0	427.0	142.0	2184.0	77889.0	1400587.0	1796076.608219
sub-3260	1043.0	1110.0	2427.0	1781.0	447.0	2894.0	5517.0	3601.0	763.0	5250.0	2971.0	2899.0	1830.0	4043.0	673.0	1713.0	1157.0	1079.0	1644.0	1523.0	4347.0	1066.0	4509.0	4611.0	729.0	8463.0	8186.0	5807.0	3981.0	3919.0	281.0	364.0	349.0	2303.0	93262.7	1111691.0	1510075.588013
sub-3264	430.0	634.0	1773.0	833.0	1037.0	2659.0	3197.0	2566.0	66.0	4295.0	2128.0	1905.0	1411.0	1949.0	852.0	1667.0	957.0	755.0	1082.0	821.0	3602.0	507.0	4595.0	3139.0	512.0	4940.0	8139.0	4839.0	2067.0	2780.0	300.0	352.0	261.0	2633.0	69664.0	1219336.0	1566172.153937
sub-3270	1133.0	918.0	2541.0	1320.0	465.0	2896.0	4270.0	3825.0	777.0	4923.0	2812.0	2779.0	2036.0	3592.0	530.0	1631.0	1552.0	858.0	1502.0	1590.0	4041.0	1035.0	5540.0	3220.0	656.0	7107.0	8031.0	4987.0	3869.0	3179.0	323.0	311.0	332.0	2872.0	87448.4	1121967.0	1546965.060867
sub-3271	1095.0	755.0	2328.0	1169.0	804.0	3847.0	5528.0	3896.0	705.0	5406.0	2626.0	2742.0	1805.0	3746.0	780.0	1639.0	1650.0	741.0	1933.0	1104.0	4479.0	1139.0	5202.0	3641.0	713.0	7245.0	7853.0	5548.0	4692.0	3338.0	218.0	416.0	456.0	3138.0	92373.5	1253052.0	1718214.935342
sub-3274	1091.0	1153.0	2890.0	2543.0	1474.0	4984.0	6600.0	5105.0	145.0	7389.0	2569.0	3515.0	1409.0	4665.0	388.0	1664.0	1762.0	1296.0	1851.0	3276.0	4476.0	1106.0	8759.0	5639.0	541.0	6498.0	9187.0	7074.0	4649.0	3739.0	308.0	502.0	396.0	5114.0	113755.0	1519589.0	1996588.304558
sub-3276	881.0	711.0	3794.0	1441.0	475.0	2771.0	5768.0	3026.0	569.0	4218.0	2991.0	2154.0	2241.0	3133.0	666.0	1972.0	1509.0	998.0	1533.0	915.0	4510.0	1199.0	5584.0	2575.0	656.0	5879.0	9554.0	4839.0	4152.0	4205.0	298.0	340.0	362.0	2893.0	88801.4	1196149.0	1532799.083546
sub-3277	1127.0	777.0	2272.0	1475.0	677.0	4532.0	6333.0	4945.0	963.0	5684.0	3411.0	3698.0	2520.0	4176.0	826.0	1804.0	1449.0	989.0	1540.0	1359.0	4158.0	977.0	5465.0	4993.0	827.0	7698.0	9053.0	6077.0	4031.0	4668.0	288.0	635.0	300.0	3117.0	102841.0	1398131.0	1749964.804139
sub-3300	933.0	696.0	2405.0	1616.0	421.0	3611.0	5624.0	3311.0	1063.0	6060.0	2519.0	3691.0	2079.0	3203.0	705.0	1461.0	1493.0	782.0	1782.0	1626.0	3949.0	1448.0	5389.0	3715.0	562.0	5453.0	7474.0	4913.0	3495.0	3448.0	336.0	428.0	336.0	2305.0	88314.0	1103909.0	1507889.394342
sub-3301	792.0	640.0	2775.0	1847.0	436.0	3520.0	5046.0	3533.0	1177.0	6291.0	2863.0	3965.0	2079.0	3669.0	649.0	1316.0	1372.0	842.0	1356.0	1942.0	4570.0	1160.0	5828.0	4207.0	739.0	6088.0	6654.0	5023.0	3976.0	4031.0	322.0	467.0	376.0	2346.0	91869.4	1138836.0	1569970.280325
sub-3310	700.0	595.0	1668.0	1183.0	547.0	2691.0	3935.0	2576.0	708.0	3918.0	2283.0	2304.0	1937.0	2694.0	521.0	1446.0	1231.0	798.0	1455.0	1053.0	3476.0	985.0	3999.0	3329.0	648.0	4931.0	6195.0	5140.0	3083.0	3188.0	271.0	406.0	291.0	1856.0	72030.8	945687.0	1381921.039271
sub-3316	845.0	845.0	2502.0	1215.0	428.0	3071.0	5257.0	3277.0	959.0	4847.0	2791.0	3030.0	2166.0	3592.0	634.0	1425.0	1153.0	902.0	1450.0	1283.0	3886.0	1292.0	4856.0	3759.0	607.0	5756.0	7592.0	5371.0	3348.0	3342.0	312.0	442.0	308.0	2717.0	85255.1	1113571.0	1600319.319315
sub-3318	901.0	803.0	1595.0	1182.0	351.0	2504.0	4440.0	2795.0	855.0	4650.0	2159.0	2561.0	1882.0	3064.0	591.0	1411.0	1171.0	602.0	1160.0	1162.0	3489.0	1014.0	4574.0	3226.0	456.0	4246.0	6689.0	4026.0	3352.0	3167.0	259.0	406.0	277.0	2243.0	73241.1	954207.0	1465625.659036
sub-3320	894.0	562.0	2035.0	1494.0	376.0	2702.0	4886.0	3342.0	947.0	4763.0	2489.0	3053.0	1845.0	3754.0	551.0	1697.0	1345.0	781.0	1316.0	1448.0	4400.0	1304.0	5568.0	3298.0	431.0	5915.0	7318.0	4446.0	3885.0	3808.0	279.0	423.0	293.0	2343.0	83983.5	1067085.0	1482700.06768
sub-3350	917.0	676.0	2389.0	1570.0	493.0	3328.0	5560.0	3654.0	921.0	5404.0	2520.0	3007.0	1917.0	3707.0	595.0	2019.0	1493.0	718.0	1551.0	1440.0	4260.0	1233.0	5567.0	4016.0	899.0	6755.0	8512.0	4973.0	4013.0	3504.0	220.0	438.0	339.0	2644.0	91247.6	1110241.0	1629867.024323
sub-3351	781.0	532.0	1841.0	1581.0	418.0	2473.0	5881.0	2802.0	524.0	4892.0	2259.0	3347.0	1865.0	3166.0	584.0	1574.0	1264.0	781.0	1187.0	1731.0	4348.0	1030.0	4770.0	4003.0	462.0	5716.0	6649.0	5378.0	2964.0	3226.0	244.0	507.0	290.0	2335.0	81399.6	943343.0	1585653.383279
sub-3353	906.0	823.0	1793.0	1358.0	448.0	2725.0	5087.0	2809.0	829.0	4396.0	2251.0	2899.0	1581.0	3203.0	596.0	1341.0	1121.0	602.0	1249.0	1215.0	3567.0	953.0	4502.0	3251.0	643.0	4938.0	6118.0	4781.0	3292.0	3097.0	274.0	473.0	303.0	2247.0	75658.9	1046218.0	1420575.293696
sub-3355	863.0	637.0	1538.0	735.0	352.0	2811.0	5645.0	3104.0	992.0	4008.0	1478.0	2968.0	1413.0	3146.0	531.0	1596.0	1225.0	517.0	1256.0	1125.0	3995.0	1155.0	4552.0	5166.0	277.0	3710.0	5840.0	6193.0	3448.0	3082.0	422.0	375.0	279.0	2147.0	76580.6	1041331.0	1387517.341014
sub-3357	808.0	732.0	2387.0	1592.0	382.0	2815.0	5774.0	3088.0	994.0	4228.0	2644.0	3046.0	1741.0	3732.0	712.0	1641.0	1305.0	854.0	1676.0	1413.0	3750.0	1370.0	5798.0	3801.0	508.0	6018.0	7753.0	5337.0	3980.0	3890.0	263.0	438.0	303.0	2310.0	87078.7	1088526.0	1658569.737646
sub-3358	866.0	995.0	2939.0	1593.0	618.0	3309.0	7125.0	3553.0	918.0	5512.0	2494.0	3440.0	2406.0	3587.0	736.0	2382.0	1334.0	772.0	1209.0	1648.0	4463.0	1519.0	6218.0	4281.0	749.0	5576.0	8830.0	6730.0	4017.0	4005.0	374.0	489.0	391.0	2613.0	97688.8	1247153.0	1696766.506401
sub-3361	1062.0	654.0	2256.0	1513.0	460.0	3330.0	6046.0	3847.0	1036.0	4799.0	2654.0	2894.0	1854.0	3726.0	577.0	1687.0	1450.0	849.0	1446.0	1428.0	4559.0	1347.0	4885.0	4572.0	798.0	5677.0	7824.0	5683.0	3634.0	5054.0	297.0	512.0	330.0	2436.0	91119.7	1103762.0	1568950.294096
sub-3362	979.0	614.0	1904.0	1735.0	365.0	2842.0	5225.0	3415.0	759.0	4799.0	2407.0	3309.0	1897.0	3563.0	669.0	1408.0	1263.0	768.0	1544.0	1811.0	3890.0	1167.0	4758.0	3512.0	565.0	5319.0	6243.0	4981.0	3365.0	3185.0	329.0	390.0	271.0	2567.0	81811.0	1066753.0	1284820.070714
sub-3368	1058.0	910.0	2112.0	1541.0	610.0	2891.0	6744.0	3342.0	985.0	4653.0	2420.0	3517.0	1974.0	3923.0	721.0	1536.0	1301.0	696.0	1296.0	1730.0	4001.0	1224.0	4292.0	4376.0	748.0	5434.0	6683.0	5611.0	3438.0	3480.0	274.0	408.0	310.0	2493.0	86721.7	1117001.0	1390440.882489
sub-3369	874.0	682.0	1890.0	1427.0	405.0	2700.0	4211.0	2570.0	1098.0	4544.0	2488.0	3365.0	1757.0	3183.0	732.0	1262.0	1208.0	950.0	1664.0	1788.0	3724.0	1155.0	4564.0	4024.0	535.0	6232.0	6073.0	4844.0	3691.0	3446.0	254.0	509.0	288.0	2229.0	80358.3	1041747.0	1449827.130093
sub-3370	785.0	1017.0	2696.0	2079.0	494.0	3436.0	5025.0	3415.0	1045.0	5333.0	3008.0	3654.0	2103.0	3692.0	771.0	1970.0	1453.0	1037.0	1673.0	1905.0	4310.0	1402.0	5368.0	3936.0	918.0	6720.0	7667.0	5582.0	4374.0	3593.0	266.0	559.0	417.0	2753.0	94412.3	1294383.0	1672519.043824
sub-3389	897.0	820.0	1989.0	1476.0	340.0	3250.0	5392.0	3146.0	896.0	5165.0	2685.0	3034.0	1995.0	3390.0	650.0	1474.0	1362.0	873.0	1321.0	1395.0	3786.0	1444.0	5123.0	3891.0	573.0	6212.0	6945.0	5688.0	3878.0	3615.0	236.0	401.0	302.0	2385.0	86025.4	1042625.0	1499330.11181
