rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-3000	2.712	2.068	2.451	2.109	3.589	2.901	2.313	2.6	2.528	2.229	2.467	2.096	2.224	2.65	3.033	2.42	2.363	2.396	2.091	1.89	2.094	2.136	2.407	2.349	2.953	2.268	2.534	2.162	2.557	2.293	2.034	4.11	2.512	3.028	2.39037	1108330.0	1569766.840465
sub-3004	2.783	2.543	2.488	1.787	3.406	2.763	2.564	2.716	2.347	2.417	2.412	1.937	2.285	2.656	2.798	2.316	2.527	2.483	2.258	1.617	1.924	2.238	2.558	2.47	2.595	2.296	2.633	2.31	2.639	2.312	2.366	3.275	2.442	3.01	2.44745	1175445.0	1617853.482109
sub-3008	2.749	2.659	2.34	1.943	3.418	2.734	2.343	2.412	2.823	2.125	2.387	2.124	2.03	2.168	2.887	2.281	2.412	2.2	2.12	1.811	2.263	2.273	1.904	2.26	2.927	2.311	2.427	2.017	2.296	2.154	2.305	3.316	2.207	2.834	2.28517	873285.0	1282019.510828
sub-3011	3.001	2.629	2.576	1.908	3.523	3.022	2.63	2.63	3.165	2.422	2.744	2.259	2.444	2.638	2.754	2.438	2.436	2.823	2.44	1.892	2.225	2.564	2.548	2.706	2.72	2.363	2.733	2.369	2.795	2.586	2.701	3.921	2.621	3.124	2.58411	1256798.0	1722963.923116
sub-3013	2.654	2.657	2.421	1.689	3.3	2.645	2.291	2.514	2.192	2.068	2.506	2.044	2.384	2.532	2.344	2.276	2.403	2.453	2.409	1.546	1.873	2.436	2.364	2.265	2.888	2.192	2.512	2.114	2.567	2.292	2.548	4.177	2.629	2.775	2.32787	1185073.0	1637599.895668
sub-3016	2.692	2.483	2.34	1.918	3.473	3.006	2.515	2.922	2.638	2.302	2.61	2.212	2.25	2.433	2.802	2.399	2.368	2.5	2.366	1.594	2.301	1.873	1.908	2.54	2.594	2.43	2.524	2.276	2.56	2.335	2.232	3.998	2.289	3.135	2.44413	1142925.0	1587662.051107
sub-3029	2.585	2.331	2.171	1.91	3.001	2.69	2.152	2.854	2.636	2.144	2.509	1.957	2.349	2.665	2.787	2.425	2.345	2.52	2.226	1.615	2.042	2.636	2.312	2.422	2.862	2.137	2.41	2.156	2.576	2.311	2.769	3.169	2.092	2.461	2.32443	1131226.0	1591404.683586
sub-3104	2.526	2.593	2.584	2.053	3.474	2.854	2.409	2.781	2.511	2.376	2.456	2.172	2.487	2.823	2.707	2.315	2.635	2.531	2.543	1.751	2.156	2.595	2.509	2.414	3.387	2.261	2.58	2.233	2.696	2.587	2.263	3.498	2.582	2.908	2.48395	1017494.0	1530767.14906
sub-3106	2.308	2.251	2.377	1.881	1.471	2.588	2.326	2.314	2.242	2.168	2.424	2.028	2.569	2.42	2.173	2.367	2.429	2.49	2.29	1.734	2.045	2.386	2.145	2.346	2.59	2.322	2.474	2.141	2.563	2.401	2.548	3.145	2.257	2.332	2.28756	967156.0	1540262.400118
sub-3112	2.339	2.323	2.359	1.801	3.267	2.523	2.284	2.584	2.548	2.163	2.419	2.054	2.354	2.538	2.493	2.325	2.268	2.532	2.345	1.672	1.993	2.239	2.363	2.251	2.311	2.352	2.429	2.062	2.433	2.461	2.508	3.198	1.949	2.786	2.31323	854197.0	1233595.151979
sub-3114	2.707	2.339	2.398	1.906	3.791	2.882	2.561	2.804	2.197	2.309	2.52	2.149	2.287	2.742	2.969	2.183	2.672	2.336	2.455	1.902	2.075	2.318	2.267	2.352	2.921	2.371	2.383	2.194	2.632	2.478	2.387	3.644	2.42	3.037	2.4201	905428.0	1287590.079589
sub-3115	2.532	2.16	2.443	1.938	3.212	2.661	2.412	2.516	2.082	2.184	2.324	1.955	2.232	2.723	2.598	2.358	2.505	2.518	2.361	1.792	2.121	2.296	2.407	2.353	2.609	2.164	2.511	2.203	2.576	2.429	2.287	3.391	2.339	2.813	2.36758	1169364.0	1636462.312859
sub-3151	2.585	2.338	2.454	1.842	3.517	2.772	2.467	2.783	2.367	2.258	2.496	1.977	2.274	2.826	3.046	2.315	2.369	2.648	2.532	1.623	2.009	2.381	2.421	2.362	2.652	2.173	2.471	2.113	2.81	2.368	2.503	3.756	2.524	3.002	2.41149	1080730.0	1520893.531615
sub-3156	2.243	2.344	2.406	1.959	4.025	2.622	2.32	2.8	2.175	2.048	2.337	2.062	2.238	2.619	2.681	2.359	2.441	2.491	2.165	1.764	2.084	2.245	2.444	2.341	2.607	2.171	2.516	2.193	2.541	2.332	2.498	3.509	1.99	2.677	2.35394	1032323.0	1558956.244154
sub-3157	2.708	2.607	2.575	1.815	3.637	2.947	2.581	2.882	2.528	2.298	2.391	2.001	2.355	2.945	2.785	2.451	2.485	2.681	2.319	1.676	2.059	2.388	2.559	2.403	2.999	2.219	2.717	2.195	2.756	2.551	2.637	3.897	2.373	2.872	2.47397	878085.0	1183410.395238
sub-3160	2.258	2.305	2.297	1.716	3.52	2.507	2.245	2.611	2.333	2.012	2.421	1.876	2.028	2.595	2.574	2.194	2.275	2.373	2.379	1.573	1.918	2.042	2.237	2.186	2.286	2.146	2.309	1.981	2.487	2.26	2.465	3.573	2.097	2.77	2.2368	1133731.0	1809287.539735
sub-3161	2.367	2.328	2.484	1.913	3.316	2.793	2.273	2.709	2.278	2.267	2.412	1.955	2.193	2.755	2.365	2.313	2.451	2.49	2.242	1.795	1.912	2.215	2.412	2.37	2.971	2.134	2.516	2.178	2.681	2.437	2.372	3.493	2.373	2.769	2.36738	1193640.0	1692612.828334
