lh.aparc.a2009s.thickness	lh_G&S_frontomargin_thickness	lh_G&S_occipital_inf_thickness	lh_G&S_paracentral_thickness	lh_G&S_subcentral_thickness	lh_G&S_transv_frontopol_thickness	lh_G&S_cingul-Ant_thickness	lh_G&S_cingul-Mid-Ant_thickness	lh_G&S_cingul-Mid-Post_thickness	lh_G_cingul-Post-dorsal_thickness	lh_G_cingul-Post-ventral_thickness	lh_G_cuneus_thickness	lh_G_front_inf-Opercular_thickness	lh_G_front_inf-Orbital_thickness	lh_G_front_inf-Triangul_thickness	lh_G_front_middle_thickness	lh_G_front_sup_thickness	lh_G_Ins_lg&S_cent_ins_thickness	lh_G_insular_short_thickness	lh_G_occipital_middle_thickness	lh_G_occipital_sup_thickness	lh_G_oc-temp_lat-fusifor_thickness	lh_G_oc-temp_med-Lingual_thickness	lh_G_oc-temp_med-Parahip_thickness	lh_G_orbital_thickness	lh_G_pariet_inf-Angular_thickness	lh_G_pariet_inf-Supramar_thickness	lh_G_parietal_sup_thickness	lh_G_postcentral_thickness	lh_G_precentral_thickness	lh_G_precuneus_thickness	lh_G_rectus_thickness	lh_G_subcallosal_thickness	lh_G_temp_sup-G_T_transv_thickness	lh_G_temp_sup-Lateral_thickness	lh_G_temp_sup-Plan_polar_thickness	lh_G_temp_sup-Plan_tempo_thickness	lh_G_temporal_inf_thickness	lh_G_temporal_middle_thickness	lh_Lat_Fis-ant-Horizont_thickness	lh_Lat_Fis-ant-Vertical_thickness	lh_Lat_Fis-post_thickness	lh_Pole_occipital_thickness	lh_Pole_temporal_thickness	lh_S_calcarine_thickness	lh_S_central_thickness	lh_S_cingul-Marginalis_thickness	lh_S_circular_insula_ant_thickness	lh_S_circular_insula_inf_thickness	lh_S_circular_insula_sup_thickness	lh_S_collat_transv_ant_thickness	lh_S_collat_transv_post_thickness	lh_S_front_inf_thickness	lh_S_front_middle_thickness	lh_S_front_sup_thickness	lh_S_interm_prim-Jensen_thickness	lh_S_intrapariet&P_trans_thickness	lh_S_oc_middle&Lunatus_thickness	lh_S_oc_sup&transversal_thickness	lh_S_occipital_ant_thickness	lh_S_oc-temp_lat_thickness	lh_S_oc-temp_med&Lingual_thickness	lh_S_orbital_lateral_thickness	lh_S_orbital_med-olfact_thickness	lh_S_orbital-H_Shaped_thickness	lh_S_parieto_occipital_thickness	lh_S_pericallosal_thickness	lh_S_postcentral_thickness	lh_S_precentral-inf-part_thickness	lh_S_precentral-sup-part_thickness	lh_S_suborbital_thickness	lh_S_subparietal_thickness	lh_S_temporal_inf_thickness	lh_S_temporal_sup_thickness	lh_S_temporal_transverse_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-3000	2.518	2.305	2.34	2.287	2.735	2.88	3.004	2.653	3.122	2.676	1.712	2.608	2.305	2.382	2.515	2.64	3.169	3.335	2.274	2.1	2.965	2.129	2.803	2.484	2.309	2.482	2.245	2.225	2.625	2.46	2.606	2.388	2.667	2.38	2.967	2.385	2.364	2.322	2.205	2.026	2.386	1.917	2.977	1.895	2.037	2.299	2.971	2.458	2.509	2.621	1.849	2.274	2.229	2.367	2.132	2.062	1.974	2.164	2.211	2.415	2.607	1.997	2.271	2.79	2.24	2.003	2.074	2.291	2.316	2.368	2.33	2.316	2.377	2.533	2.3787	1108330.0	1569766.840465
sub-3004	2.166	2.522	2.256	2.596	2.563	2.67	2.682	2.56	2.954	2.793	1.851	2.637	2.644	2.751	2.705	2.67	3.2	3.412	2.503	2.392	2.873	2.156	3.368	2.611	2.402	2.317	2.397	2.013	2.695	2.394	2.315	2.508	2.45	2.757	3.81	2.506	2.606	2.499	2.423	2.308	2.376	2.19	3.398	1.891	2.232	2.179	2.554	2.645	2.615	2.75	1.874	2.236	2.354	2.352	2.316	2.091	1.956	2.083	2.009	2.448	2.563	2.182	2.24	2.664	2.364	2.306	2.095	2.451	2.299	2.449	2.23	2.34	2.538	2.769	2.46348	1175445.0	1617853.482109
sub-3008	2.37	2.506	2.008	2.086	2.716	2.813	2.531	2.319	2.719	2.889	1.675	2.34	2.331	2.088	2.236	2.537	3.119	3.461	2.39	2.17	2.883	1.95	3.256	2.286	2.155	2.261	2.157	1.851	2.434	2.276	2.09	2.107	2.216	2.183	3.387	2.024	2.202	1.958	2.002	2.072	2.448	1.801	3.39	1.716	1.702	2.218	2.617	2.465	2.584	2.388	1.888	2.159	2.135	2.394	2.208	2.212	2.022	2.015	2.247	2.303	2.37	1.999	1.863	2.865	2.246	1.649	2.102	2.332	2.113	2.183	2.525	2.195	2.331	2.0	2.27874	873285.0	1282019.510828
sub-3011	2.479	2.731	2.51	2.316	2.622	2.688	2.963	2.809	3.205	3.499	2.036	2.679	2.937	2.809	2.732	2.859	3.19	3.685	2.452	2.227	2.93	2.325	3.071	2.778	2.772	2.382	2.666	2.293	2.81	2.646	2.129	2.578	2.894	2.604	3.464	2.51	2.825	2.642	2.459	2.714	2.572	2.004	3.81	2.288	2.215	2.412	3.046	2.907	2.807	2.988	2.025	2.523	2.381	2.512	2.449	2.277	1.898	1.948	1.997	2.738	2.684	2.212	2.772	3.027	2.431	1.922	2.228	2.743	2.353	2.469	2.654	2.533	2.654	2.777	2.61119	1256798.0	1722963.923116
sub-3013	2.404	2.018	2.045	2.148	2.433	2.794	2.57	2.689	2.876	2.396	2.011	2.474	2.842	2.332	2.446	2.676	2.868	3.219	2.27	2.062	2.634	2.132	2.751	2.536	2.414	2.288	2.221	2.074	2.254	2.274	2.664	2.401	2.467	2.574	3.304	2.304	2.719	2.719	2.267	2.027	2.503	1.797	3.431	1.893	1.97	2.113	2.633	2.628	2.493	2.635	2.115	2.277	2.072	2.315	2.56	1.912	1.783	1.987	2.06	2.5	2.164	1.946	2.056	2.472	2.074	1.622	2.119	2.389	2.32	2.133	2.248	2.423	2.433	2.141	2.3568	1185073.0	1637599.895668
sub-3016	2.369	2.381	2.233	2.408	2.757	2.742	2.714	2.654	2.286	2.693	1.845	2.639	2.89	2.579	2.559	2.805	3.361	3.657	2.181	2.103	3.002	1.875	2.893	2.825	2.273	2.315	2.262	2.149	2.441	2.205	2.142	2.466	2.43	2.611	3.861	2.541	2.781	2.377	2.859	2.301	2.685	1.866	3.413	1.895	1.898	2.294	2.593	2.881	2.716	3.006	2.152	2.282	2.088	2.332	1.938	2.19	1.914	2.204	2.128	2.639	2.396	2.044	1.948	2.998	2.348	2.072	2.157	2.416	2.139	2.523	2.462	2.486	2.603	2.46	2.43409	1142925.0	1587662.051107
sub-3029	2.381	2.359	1.943	2.222	2.365	2.766	2.446	2.481	2.498	2.536	1.829	2.425	2.388	2.518	2.384	2.438	2.724	3.022	2.351	2.071	2.709	2.078	2.57	2.353	2.29	2.397	2.207	1.893	2.35	2.592	2.522	2.306	2.056	2.493	3.381	2.415	2.927	2.918	2.532	2.023	2.26	1.927	3.145	1.938	1.989	2.44	2.315	2.278	2.473	2.829	1.889	2.147	2.083	2.292	1.943	2.187	1.927	1.974	2.122	2.449	2.414	2.874	2.376	2.51	2.226	2.006	2.117	2.316	2.164	2.562	2.556	2.519	2.333	1.828	2.33901	1131226.0	1591404.683586
sub-3104	2.246	2.511	2.448	2.463	2.382	2.689	2.547	2.439	2.888	2.966	1.841	2.506	2.529	2.52	2.556	2.678	2.88	3.082	2.463	2.163	2.809	2.103	3.162	2.751	2.602	2.616	2.341	2.184	2.622	2.451	2.655	1.927	2.198	2.83	3.035	2.581	2.793	2.79	2.091	2.313	2.38	2.059	3.298	1.999	2.112	2.164	2.539	2.51	2.544	2.493	2.045	2.132	2.268	2.421	2.289	2.212	2.106	1.965	2.409	2.515	2.267	2.192	2.118	2.443	2.197	1.744	2.187	2.514	2.39	2.199	2.21	2.45	2.424	2.128	2.42868	1017494.0	1530767.14906
sub-3106	2.166	2.205	2.252	2.753	2.305	2.426	2.275	2.386	2.429	1.994	1.889	2.474	2.718	2.696	2.52	2.589	2.912	3.618	2.5	1.972	2.703	1.91	2.717	2.657	2.4	2.389	2.335	2.04	2.221	2.432	2.469	1.663	2.06	2.597	2.471	2.168	2.747	2.515	2.159	2.74	2.138	2.045	2.936	1.838	1.885	2.289	2.334	2.339	2.547	2.606	2.035	2.268	2.082	2.402	2.602	2.007	2.282	2.046	2.374	2.459	2.38	2.568	1.985	2.568	2.255	1.763	2.011	2.293	2.482	2.106	2.246	2.388	2.194	2.178	2.33471	967156.0	1540262.400118
sub-3112	2.113	2.304	2.028	2.451	2.62	2.655	2.432	2.319	2.707	2.533	1.765	2.717	2.523	2.516	2.319	2.559	3.184	3.004	2.405	2.175	2.579	1.92	3.006	2.703	2.482	2.552	2.203	2.241	1.955	2.095	2.618	2.023	2.081	2.604	3.073	2.433	2.814	2.848	1.79	2.122	2.179	1.964	3.02	1.685	2.012	2.022	2.088	2.458	2.24	2.592	2.247	1.982	2.234	2.306	1.897	2.073	2.139	2.137	2.324	2.316	2.245	1.875	2.451	2.523	2.158	1.855	1.994	2.012	1.819	2.734	2.329	2.36	2.235	2.022	2.31487	854197.0	1233595.151979
