rh.aparc.a2009s.area	rh_G&S_frontomargin_area	rh_G&S_occipital_inf_area	rh_G&S_paracentral_area	rh_G&S_subcentral_area	rh_G&S_transv_frontopol_area	rh_G&S_cingul-Ant_area	rh_G&S_cingul-Mid-Ant_area	rh_G&S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg&S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet&P_trans_area	rh_S_oc_middle&Lunatus_area	rh_S_oc_sup&transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med&Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3000	698.0	928.0	909.0	1138.0	836.0	2364.0	1005.0	996.0	368.0	224.0	1563.0	912.0	289.0	636.0	2977.0	4269.0	427.0	468.0	1595.0	1210.0	1525.0	2111.0	800.0	2122.0	1794.0	1782.0	1785.0	1247.0	1745.0	1456.0	584.0	435.0	281.0	1298.0	542.0	599.0	2294.0	1986.0	269.0	249.0	1095.0	2161.0	1232.0	1960.0	2416.0	772.0	414.0	745.0	976.0	628.0	308.0	1417.0	1610.0	1822.0	472.0	2629.0	705.0	1296.0	683.0	880.0	1619.0	254.0	564.0	1116.0	1927.0	837.0	1741.0	1119.0	1091.0	349.0	675.0	1111.0	3450.0	206.0	88992.1	1108330.0	1569766.840465
sub-3004	767.0	782.0	927.0	951.0	692.0	2295.0	1158.0	1047.0	352.0	182.0	1258.0	854.0	282.0	675.0	2332.0	4396.0	360.0	694.0	1173.0	1046.0	1158.0	1653.0	1017.0	2138.0	1678.0	2283.0	2259.0	1386.0	1778.0	1967.0	569.0	316.0	280.0	1345.0	565.0	771.0	2160.0	2486.0	301.0	237.0	1074.0	2031.0	1214.0	1348.0	2178.0	821.0	447.0	814.0	946.0	940.0	361.0	1424.0	1238.0	1732.0	402.0	2934.0	650.0	916.0	504.0	724.0	1282.0	325.0	641.0	1217.0	1286.0	875.0	2389.0	1163.0	1098.0	279.0	1020.0	1341.0	4933.0	161.0	89274.3	1175445.0	1617853.482109
sub-3008	628.0	785.0	785.0	1212.0	717.0	1844.0	703.0	815.0	165.0	137.0	1162.0	1342.0	272.0	712.0	2442.0	3888.0	379.0	326.0	1319.0	857.0	1316.0	1442.0	633.0	1747.0	1496.0	1262.0	997.0	891.0	1691.0	1085.0	585.0	386.0	221.0	1207.0	582.0	600.0	1757.0	2253.0	250.0	137.0	837.0	1925.0	1184.0	1215.0	1769.0	584.0	349.0	792.0	981.0	673.0	198.0	1650.0	1156.0	1356.0	107.0	1326.0	819.0	713.0	416.0	925.0	1321.0	420.0	521.0	1074.0	1415.0	516.0	1064.0	1138.0	961.0	261.0	414.0	1210.0	4163.0	235.0	74716.5	873285.0	1282019.510828
sub-3011	766.0	981.0	1036.0	998.0	1114.0	2387.0	1194.0	1209.0	310.0	171.0	1414.0	1129.0	239.0	718.0	3743.0	4730.0	424.0	631.0	1314.0	1036.0	1680.0	1833.0	841.0	2130.0	2430.0	1913.0	1345.0	1323.0	1678.0	1583.0	632.0	329.0	249.0	1463.0	603.0	680.0	2138.0	2351.0	222.0	210.0	1026.0	2061.0	1344.0	1478.0	2228.0	1035.0	404.0	873.0	1081.0	817.0	453.0	1291.0	1455.0	1836.0	297.0	1867.0	514.0	1025.0	725.0	702.0	1560.0	294.0	750.0	1012.0	1445.0	826.0	1549.0	1342.0	964.0	203.0	736.0	1273.0	5238.0	122.0	90998.7	1256798.0	1722963.923116
sub-3013	750.0	823.0	998.0	1293.0	951.0	2400.0	1135.0	1313.0	383.0	199.0	1506.0	891.0	258.0	440.0	2954.0	4803.0	431.0	741.0	2052.0	1288.0	1280.0	1641.0	763.0	2212.0	2110.0	1959.0	1750.0	1519.0	1667.0	1875.0	705.0	320.0	266.0	1342.0	531.0	823.0	2268.0	2019.0	283.0	127.0	1108.0	1945.0	1368.0	1509.0	2728.0	1062.0	418.0	874.0	921.0	493.0	289.0	1917.0	2032.0	1947.0	393.0	2237.0	826.0	985.0	708.0	869.0	1616.0	375.0	644.0	1435.0	1897.0	738.0	1806.0	1612.0	1031.0	251.0	680.0	1138.0	3760.0	252.0	92936.4	1185073.0	1637599.895668
sub-3016	682.0	1003.0	1233.0	1058.0	1030.0	2481.0	1184.0	1066.0	291.0	182.0	1506.0	1306.0	326.0	1016.0	4080.0	4863.0	336.0	503.0	1716.0	1247.0	1367.0	1799.0	952.0	2316.0	2292.0	1210.0	1280.0	1080.0	1266.0	1317.0	553.0	279.0	298.0	1237.0	520.0	608.0	1791.0	2312.0	325.0	279.0	937.0	2436.0	1352.0	1803.0	1711.0	785.0	484.0	643.0	991.0	1004.0	394.0	1910.0	2454.0	1994.0	319.0	1541.0	901.0	997.0	584.0	792.0	1186.0	620.0	611.0	1103.0	1606.0	881.0	1307.0	926.0	717.0	357.0	494.0	1347.0	4376.0	293.0	90046.0	1142925.0	1587662.051107
sub-3029	597.0	934.0	949.0	1069.0	772.0	1630.0	801.0	903.0	278.0	265.0	1583.0	787.0	312.0	519.0	3064.0	4854.0	591.0	713.0	1375.0	923.0	1316.0	2147.0	780.0	1790.0	1745.0	1962.0	2257.0	1292.0	1686.0	1777.0	565.0	376.0	211.0	1088.0	491.0	582.0	1805.0	2062.0	240.0	207.0	936.0	2593.0	1275.0	1591.0	2110.0	762.0	481.0	703.0	1049.0	572.0	329.0	1278.0	1576.0	2100.0	348.0	2113.0	699.0	975.0	528.0	865.0	1470.0	317.0	465.0	752.0	1425.0	912.0	2009.0	1188.0	1010.0	240.0	867.0	1026.0	3996.0	164.0	86022.1	1131226.0	1591404.683586
sub-3104	506.0	880.0	985.0	706.0	510.0	1604.0	848.0	922.0	296.0	173.0	1481.0	820.0	178.0	614.0	1956.0	4103.0	487.0	600.0	1381.0	1284.0	1305.0	1904.0	726.0	1432.0	1742.0	1795.0	1574.0	1271.0	1626.0	1630.0	449.0	331.0	256.0	1181.0	609.0	577.0	1651.0	1770.0	248.0	119.0	950.0	2542.0	1421.0	1590.0	2160.0	997.0	357.0	838.0	942.0	590.0	444.0	1139.0	1147.0	1721.0	189.0	2438.0	578.0	1374.0	491.0	695.0	1402.0	246.0	385.0	693.0	1706.0	730.0	1314.0	1146.0	788.0	192.0	883.0	980.0	4174.0	174.0	79945.6	1017494.0	1530767.14906
sub-3106	531.0	753.0	1047.0	907.0	707.0	1361.0	757.0	840.0	270.0	208.0	1410.0	824.0	295.0	483.0	2261.0	4216.0	302.0	417.0	1298.0	946.0	1256.0	1924.0	605.0	1529.0	2160.0	1584.0	1437.0	1278.0	1908.0	1573.0	451.0	184.0	231.0	989.0	425.0	429.0	1076.0	1294.0	145.0	194.0	875.0	2210.0	810.0	1468.0	2217.0	870.0	302.0	733.0	756.0	489.0	312.0	1226.0	1306.0	1665.0	304.0	2248.0	690.0	868.0	366.0	535.0	1143.0	237.0	315.0	583.0	1665.0	618.0	1886.0	1231.0	956.0	186.0	732.0	550.0	3010.0	217.0	74082.7	967156.0	1540262.400118
sub-3112	475.0	780.0	711.0	878.0	522.0	1269.0	595.0	787.0	344.0	191.0	1390.0	713.0	159.0	535.0	1675.0	3260.0	501.0	345.0	1259.0	764.0	1142.0	1532.0	664.0	1186.0	1678.0	1544.0	1440.0	1226.0	1579.0	1551.0	423.0	334.0	303.0	937.0	498.0	488.0	1497.0	1607.0	192.0	165.0	884.0	1878.0	1121.0	1303.0	2059.0	838.0	287.0	658.0	784.0	472.0	275.0	1082.0	873.0	966.0	269.0	1932.0	493.0	813.0	456.0	527.0	1138.0	180.0	440.0	362.0	1614.0	689.0	1623.0	932.0	836.0	177.0	532.0	872.0	3586.0	243.0	68330.0	854197.0	1233595.151979
