participant_id,freesurfer_score,suit_score,maget_score
sub-0016,3,2,3
sub-0061,2,2,3
sub-0081,2,2,3
sub-0119,3,2,3
sub-0122,3,1,3
sub-0134,3,3,3
sub-0139,3,3,3
sub-0140,2,3,3
sub-0141,3,3,3
sub-0142,3,3,3
sub-0143,3,3,3
sub-0145,3,1,3
sub-0146,3,3,3
sub-0147,3,2,3
sub-0178,2,3,3
sub-1012,3,3,3
sub-1120,3,3,3
sub-1160,3,2,2
sub-1230,2,2,3
sub-1310,3,2,3
sub-1340,3,2,3
sub-1450,3,1,3
sub-1500,3,1,3
sub-1690,3,2,3
sub-1890,3,3,2
sub-1920,3,3,3
sub-2400,3,3,3
sub-3600,3,3,3
sub-3700,3,3,3
sub-3900,3,2,3
sub-4200,3,3,3
sub-4300,3,3,3
sub-4700,3,3,3
sub-5700,3,2,3
sub-7000,3,3,3
sub-7400,3,3,3
sub-7800,3,3,3
sub-8000,3,3,4
sub-0039,3,2,3
sub-0041,3,2,3
sub-0042,3,2,2
sub-0043,3,4,3
sub-0044,3,3,3
sub-0053,3,3,3
sub-0057,3,2,2
sub-0058,3,3,3
sub-0060,3,3,3
sub-0062,3,3,3
sub-0066,3,3,3
sub-0067,3,3,3
sub-0071,3,3,3
sub-0072,3,3,3
sub-0077,3,3,3
sub-0078,3,3,3
sub-0079,3,3,3
sub-0080,3,3,3
sub-0082,3,3,3
sub-0085,3,3,3
sub-0100,3,3,3
sub-0102,3,1,3
sub-0104,3,2,3
sub-0107,3,3,3
sub-0108,3,3,3
sub-0110,3,3,3
sub-0113,3,3,3
sub-0117,3,3,3
sub-0121,3,2,3
sub-0124,3,1,3
sub-0128,3,1,3
sub-0130,3,3,3
